k,distance,Adjusted Rand Index,Davies-Bouldin Index,Silhouette Score,Purity Score,Time (s),Iterations,Error
4,cosine,0.09698617256226896,1.7646697852564188,0.17113247592904074,0.19424242424242422,0.17041015625,12.7,
4,euclidean,0.09253962023887133,1.80863209741411,0.17125308631066163,0.20030303030303034,0.22636058330535888,15.8,
5,cosine,0.10994010995691508,1.8926234991278181,0.14779438485440616,0.2219191919191919,0.31709017753601076,18.7,
3,cosine,0.07620427500426082,2.0451985784532787,0.1560126726828053,0.1765656565656566,0.19697115421295167,20.1,
3,manhattan,0.032532507649618084,2.084450944280344,0.15136856095774198,0.1521212121212121,0.16561107635498046,12.6,
2,manhattan,0.00011793768878688355,2.4386160118768956,0.14188205151926286,0.10646464646464646,0.10318529605865479,11.8,
5,euclidean,0.11028975435733597,1.9088927638184472,0.15258204462249395,0.2298989898989899,0.3469123363494873,19.9,
2,euclidean,0.016786566193084395,1.9677450687657507,0.17339936370276332,0.13828282828282829,0.154443621635437,19.2,
5,manhattan,0.08071892745513273,2.049551284211379,0.14637076894485196,0.19363636363636363,0.2849985837936401,17.2,
3,euclidean,0.06656256597552551,2.050524653643511,0.15405826483853874,0.17444444444444443,0.30576908588409424,28.0,
2,cosine,0.015718374867775352,2.2810268449325397,0.15341476403136772,0.13414141414141417,0.15594985485076904,19.7,
4,manhattan,0.06658904568585929,1.9376301390082702,0.16161352307530025,0.1788888888888889,0.2939718961715698,21.3,
6,euclidean,0.12783903490681653,1.8936051000795142,0.14710358215923008,0.25313131313131315,0.40975155830383303,19.3,
6,cosine,0.1310727295354031,1.9148176602701792,0.14210215638633578,0.25434343434343426,0.3908313035964966,18.7,
6,manhattan,0.09182317392554448,2.033149971738981,0.13925183660442286,0.21777777777777776,0.4996801376342773,23.2,
7,euclidean,0.1339565437713946,1.8799170165238397,0.14481332211469006,0.2633333333333333,0.5698088645935059,22.4,
8,cosine,0.13431801501864526,1.8927098589925742,0.14061550246969964,0.2805050505050505,0.496367883682251,18.1,
7,manhattan,0.09439066120200611,2.060939878265549,0.13595807634736007,0.23141414141414143,0.4939352750778198,18.5,
7,cosine,0.1311283724124372,1.8887805212560582,0.14239596963367734,0.2664646464646465,0.6165960311889649,23.2,
8,manhattan,0.10228679343997922,2.0051323200546425,0.1353453952473546,0.24222222222222226,0.6121290683746338,19.9,
