k,m,xi,Adjusted Rand Index,Adjusted Rand Index Seed,Davies-Bouldin Index,Davies-Bouldin Index Seed,Silhouette Score,Silhouette Score Seed,Purity Score,Purity Score Seed,Time (s),Time (s) Seed,Iterations,Iterations Seed
2,1.5,0.3,0.2021977989501672,0,1.1871274327190249,3,0.3469911957060175,3,0.4247086247086247,0,1.6933255195617676,4,12,3
2,2.5,0.3,0.19958496467544243,0,1.182267903480121,3,0.34686011931285926,3,0.4239316239316239,0,1.3768150806427002,4,14,3
2,1.5,0.7,0.19974098914248828,0,1.185348022447493,3,0.3470217986460727,3,0.4240870240870241,0,1.885732650756836,3,12,3
2,1.5,0.5,0.20105768551443443,2,1.185771815652921,3,0.3469896045290802,3,0.42455322455322453,2,1.6182363033294678,3,10,3
2,2.5,0.5,0.1956371265546741,0,1.1811132936894966,3,0.3469822789663804,3,0.4233100233100233,0,1.909447193145752,3,12,3
2,3.5,0.3,0.19839793430409644,0,1.1806885389192987,3,0.3468401229539628,3,0.42377622377622376,0,1.7583072185516357,3,12,3
2,3.5,0.5,0.19521142495009391,3,1.1795514460653287,3,0.34689913812139717,3,0.4226884226884227,0,2.0600175857543945,3,12,3
2,2.5,0.7,0.19545790470244107,0,1.1801073792525072,0,0.3470090921668162,0,0.4191142191142191,0,2.119558334350586,3,13,3
3,1.5,0.3,0.29362149451015507,1,0.8118163720158833,1,0.4373241913867239,1,0.517016317016317,0,1.9989731311798096,4,13,4
3,1.5,0.5,0.29362149451015507,0,0.8118163720158833,0,0.4373241913867239,0,0.517016317016317,0,2.1173906326293945,0,13,0
2,3.5,0.7,0.1964659664175551,3,1.1786951111509398,0,0.3469255971859514,3,0.42004662004662,0,2.198497772216797,3,13,3
3,1.5,0.7,0.29362149451015507,0,0.8118163720158833,0,0.4373241913867239,0,0.517016317016317,0,2.4390573501586914,3,13,0
3,2.5,0.3,0.29336066319323734,0,0.811523838058343,3,0.4373324240091965,0,0.5168609168609168,0,2.3202431201934814,4,13,4
3,2.5,0.5,0.29307116259460114,2,0.8113057922269274,0,0.4373235555094518,2,0.5165501165501165,2,2.2705013751983643,4,12,4
3,2.5,0.7,0.29281794207217954,0,0.81123125880865,0,0.4373121102804349,0,0.5163947163947163,0,1.7254979610443115,2,14,4
3,3.5,0.3,0.2925838804181866,0,0.8112978478985348,1,0.43730941642479926,0,0.5163947163947163,0,1.6473004817962646,1,15,4
3,3.5,0.5,0.2925540840634314,0,0.8110833613619777,0,0.4372916518303917,0,0.5162393162393163,0,1.4365026950836182,0,14,4
3,3.5,0.7,0.2926519609738389,3,0.8109713436072358,3,0.43727603753725786,0,0.5162393162393163,0,2.6257314682006836,4,15,4
4,1.5,0.3,0.45916872489553223,2,0.9652148875216428,2,0.3954065609970235,2,0.6901320901320901,2,2.7247562408447266,4,17,2
4,1.5,0.5,0.45916872489553223,2,0.9652148875216428,2,0.3954065609970235,2,0.6901320901320901,2,2.6168923377990723,2,17,2
4,1.5,0.7,0.45916872489553223,2,0.9652148875216428,2,0.3954065609970235,2,0.6901320901320901,2,1.7686607837677002,2,18,2
4,2.5,0.3,0.3479281444602839,1,1.1329857480664907,4,0.32347913161842023,0,0.5721833721833722,1,4.93505334854126,4,25,3
4,2.5,0.5,0.4574561085937058,2,0.9638138372203628,2,0.39541936801699723,2,0.6893550893550894,2,3.918689012527466,2,18,2
4,3.5,0.3,0.45827558710040334,2,0.9642642200175422,2,0.3953894854249404,2,0.6898212898212899,2,2.876203775405884,1,17,1
4,2.5,0.7,0.4576821230860615,2,0.9629158311369408,2,0.3954333713015693,2,0.6895104895104895,2,3.3562049865722656,2,18,2
4,3.5,0.5,0.45832128874661365,2,0.9633326305632373,1,0.3954384480527046,1,0.6898212898212899,2,3.7441036701202393,1,22,1
4,3.5,0.7,0.4579072565902034,1,0.9619726828547088,0,0.39552587351476187,0,0.6896658896658897,0,4.089122295379639,1,23,1
5,1.5,0.3,0.4615775912657331,2,1.0960550162335063,1,0.3313483841647213,2,0.6707070707070707,0,3.5667970180511475,0,21,0
5,1.5,0.5,0.46142692355810905,2,1.0960608536512766,1,0.3313837834044222,0,0.6708624708624709,0,4.312854051589966,2,27,0
5,1.5,0.7,0.46016461555952354,4,1.0961801289212125,1,0.3313217946790479,4,0.6711732711732712,4,5.762807846069336,3,34,0
5,2.5,0.5,0.45444497264580624,2,1.0848875863486604,0,0.3307146943831625,0,0.6728826728826729,0,5.661148548126221,0,32,0
5,2.5,0.3,0.45638632213748553,2,1.0930505844296772,2,0.3303466808894821,2,0.6708624708624709,0,5.850520372390747,2,37,2
