k,distance,Adjusted Rand Index,Davies-Bouldin Index,Silhouette Score,Purity Score,Time (s),Iterations,Error
2,cosine,0.20935502554405794,1.2744766019058358,0.3352067227269565,0.42578088578088585,0.31027381420135497,9.6,
2,manhattan,0.19034358734989978,1.1620889289672935,0.35294908337940367,0.41193473193473196,0.20969605445861816,10.3,
2,euclidean,0.1751565818318721,1.1186487423205693,0.3733872186809038,0.4027350427350426,0.28782756328582765,14.3,
3,euclidean,0.2949833389924604,0.8797860114565218,0.4156458144717373,0.5211344211344212,0.32254734039306643,12.1,
3,manhattan,0.2955386338484004,0.8118073336161447,0.43583670134737373,0.5155244755244754,0.34272494316101076,12.0,
3,cosine,0.3244549445548511,1.0268824156712308,0.4056136284025319,0.5285159285159285,0.4399671792984009,8.5,
4,manhattan,0.36605229143511897,1.136522469310586,0.32938819099899846,0.5705050505050504,0.6980897665023804,19.0,
4,euclidean,0.38053881677839335,1.0876683114410082,0.3443451985888244,0.6055011655011654,0.9494188070297241,27.7,
5,manhattan,0.43175634285524955,1.1259491023207207,0.3113895952935793,0.6368764568764569,0.7938410043716431,21.4,
5,euclidean,0.4531820972510835,1.103435609167982,0.3274332322977611,0.6652680652680654,0.9839998006820678,26.0,
4,cosine,0.43958265092578463,1.1516608511449764,0.3505293072451227,0.6457031857031856,1.3598275899887085,17.2,
5,cosine,0.5746906525286681,1.2499411482861615,0.3189693923197935,0.7501942501942502,1.9287768840789794,29.0,
6,cosine,0.5787604749096098,1.1844905848851282,0.30322305532362537,0.7681274281274282,1.4155580520629882,21.7,
7,euclidean,0.4998659937432187,1.109603492086062,0.3170606115859267,0.7512198912198913,1.1991293668746947,22.5,
6,euclidean,0.518134470698514,1.04647915339787,0.3465307886504287,0.7310800310800311,1.4147356748580933,30.0,
6,manhattan,0.5293530346680005,1.0628746917577752,0.3380561077947847,0.7365501165501165,1.7393914937973023,41.0,
7,manhattan,0.5127712197572003,1.139898227321979,0.3113637639146106,0.7530225330225331,1.6724368333816528,32.3,
8,manhattan,0.502518779301338,1.1763081628490664,0.303574764836151,0.7737684537684537,1.594005298614502,26.5,
7,cosine,0.5771742920566555,1.2480599551068001,0.27405876344229163,0.785920745920746,2.0946018218994142,27.1,
8,euclidean,0.47526464754762154,1.1673628548618622,0.3029894151874599,0.7640093240093242,2.2501336336135864,37.0,
8,cosine,0.5752115319453636,1.3143103190630456,0.26480881290731995,0.7956954156954157,2.301537847518921,30.0,
9,manhattan,0.4820694253145678,1.2350299388138426,0.2851889112842749,0.7985547785547786,2.966597390174866,41.2,
9,euclidean,0.47310338769298876,1.2074734787697066,0.2931835100978363,0.7892929292929293,3.4556702375411987,52.5,
9,cosine,0.5553202639878393,1.3038528922215953,0.2555981770197774,0.7913597513597515,3.5789387226104736,36.3,
10,manhattan,0.4594388820091737,1.3243609948479311,0.26815418810706904,0.8121367521367523,3.068459391593933,41.5,
10,cosine,0.5465376590003904,1.3417941634194042,0.24856289080666194,0.7993628593628593,3.459122347831726,37.0,
11,cosine,0.5450167777855748,1.3970100912874854,0.23949045394982932,0.813084693084693,3.573078083992004,36.4,
11,euclidean,0.42973406795779423,1.3487699339877275,0.2570399396193802,0.8106759906759906,3.9833236217498778,50.4,
12,cosine,0.5365714776669548,1.437281176301933,0.23785891138496096,0.8211655011655011,2.894303631782532,27.5,
10,euclidean,0.4560407759390075,1.2895557702461105,0.2741738037063473,0.8045532245532246,4.779406571388245,61.4,
11,manhattan,0.448542398558702,1.3618351951243408,0.25950380148234775,0.8167365967365967,4.404354119300843,52.1,
12,manhattan,0.4292906656203209,1.4099226493166281,0.2450018552603867,0.8185703185703185,4.56093909740448,54.3,
12,euclidean,0.4027702215574306,1.3903736936487598,0.24297423192726192,0.8088733488733488,4.731648850440979,55.9,
13,cosine,0.5265278124049511,1.4385705341030632,0.2347729936396815,0.8262626262626263,3.6831437587738036,32.5,
13,euclidean,0.3903359085570375,1.4389009977794285,0.23531505427412944,0.8095571095571096,5.162623500823974,58.9,
13,manhattan,0.42091704372868666,1.4285685318067678,0.23903581976951727,0.8221445221445223,5.406239461898804,61.4,
14,cosine,0.5115851740346425,1.4775490565431195,0.2266522472746025,0.8278477078477078,2.7803380489349365,36.6,
14,euclidean,0.3753354862532386,1.480627156272954,0.22696638998356827,0.8066822066822066,3.7635175704956056,53.6,
15,cosine,0.5043107615500695,1.4929583749344246,0.22547233932306576,0.8296192696192698,2.5086724758148193,32.6,
14,manhattan,0.4032186956582757,1.4792465872817206,0.2269051247539,0.822905982905983,3.6139337539672853,54.1,
15,euclidean,0.36684005663384356,1.4782582560454065,0.22451460672579143,0.8104895104895105,3.4464272022247315,52.2,
15,manhattan,0.3869463820637319,1.5278384056322263,0.21464427923793822,0.8240559440559443,3.3145137071609496,51.5,
2,euclidean,0.1751565818318721,1.1186487423205693,0.3733872186809038,0.4027350427350426,0.23787171840667726,14.3,
2,manhattan,0.19034358734989978,1.1620889289672935,0.35294908337940367,0.41193473193473196,0.18104345798492433,10.3,
3,cosine,0.32445314895997507,1.0268803645937612,0.40561320387584876,0.5285159285159285,0.30772809982299804,8.6,
3,manhattan,0.2955386338484004,0.8118073336161447,0.43583670134737373,0.5155244755244754,0.3333930253982544,11.9,
2,cosine,0.21078716051922847,1.2775527713762282,0.334710555194671,0.4276456876456877,0.2830625534057617,10.2,
3,euclidean,0.2949833389924604,0.8797860114565218,0.4156458144717373,0.5211344211344212,0.3129666090011597,12.1,
