k,distance,seed,Adjusted Rand Index,Davies-Bouldin Index,Silhouette Score,Purity Score,Time (s),Iterations,Error
2,euclidean,0,0.1845375692624573,7.821920126197329,0.01604297688055873,0.5778443113772455,0.8532280921936035,10.0,
2,manhattan,42,0.00985676487708924,7.68771477235437,0.017278832721206592,0.550232867598137,0.9356658458709717,13.0,
2,manhattan,0,0.00985676487708924,7.68771477235437,0.017278832721206592,0.550232867598137,1.0831339359283447,13.0,
2,euclidean,24,0.14212465594308377,7.825754142350488,0.01600752124895392,0.551230871590153,1.9274508953094482,19.0,
2,euclidean,42,0.14212465594308377,7.825754142350488,0.01600752124895392,0.551230871590153,1.3405110836029053,19.0,
2,euclidean,12,0.14212465594308377,7.825754142350488,0.01600752124895392,0.551230871590153,1.3802456855773926,19.0,
2,euclidean,55,0.14212465594308377,7.825754142350488,0.01600752124895392,0.551230871590153,1.6244080066680908,19.0,
2,euclidean,79,0.14212465594308377,7.825754142350488,0.01600752124895392,0.551230871590153,1.4307200908660889,19.0,
2,euclidean,67,0.14212465594308377,7.825754142350488,0.01600752124895392,0.551230871590153,1.389235019683838,19.0,
2,euclidean,33,0.14212465594308377,7.825754142350488,0.01600752124895392,0.551230871590153,1.3433210849761963,19.0,
2,euclidean,100,0.14212465594308377,7.825754142350488,0.01600752124895392,0.551230871590153,1.3267428874969482,19.0,
2,euclidean,36,0.14212465594308377,7.825754142350488,0.01600752124895392,0.551230871590153,1.4973177909851074,19.0,
2,manhattan,12,0.00985676487708924,7.68771477235437,0.017278832721206592,0.550232867598137,0.5112519264221191,13.0,
2,manhattan,36,0.00985676487708924,7.68771477235437,0.017278832721206592,0.550232867598137,0.6746280193328857,13.0,
2,manhattan,55,0.00985676487708924,7.68771477235437,0.017278832721206592,0.550232867598137,0.6138632297515869,13.0,
2,manhattan,100,0.00985676487708924,7.68771477235437,0.017278832721206592,0.550232867598137,0.4793510437011719,13.0,
2,manhattan,79,0.00985676487708924,7.68771477235437,0.017278832721206592,0.550232867598137,0.9359211921691895,13.0,
2,manhattan,67,0.00985676487708924,7.68771477235437,0.017278832721206592,0.550232867598137,0.8919150829315186,13.0,
2,manhattan,24,0.00985676487708924,7.68771477235437,0.017278832721206592,0.550232867598137,0.943047046661377,13.0,
2,manhattan,33,0.00985676487708924,7.68771477235437,0.017278832721206592,0.550232867598137,0.8231039047241211,13.0,
2,cosine,42,0.11942866292806001,7.826356064259059,0.016239206962004118,0.550232867598137,1.291698932647705,18.0,
2,cosine,0,0.11942866292806001,7.826356064259059,0.016239206962004118,0.550232867598137,1.3492300510406494,18.0,
2,cosine,12,0.11942866292806001,7.826356064259059,0.016239206962004118,0.550232867598137,1.2078258991241455,18.0,
2,cosine,36,0.11942866292806001,7.826356064259059,0.016239206962004118,0.550232867598137,1.2470650672912598,18.0,
2,cosine,100,0.11942866292806001,7.826356064259059,0.016239206962004118,0.550232867598137,0.7264299392700195,18.0,
2,cosine,55,0.11942866292806001,7.826356064259059,0.016239206962004118,0.550232867598137,0.7392938137054443,18.0,
2,cosine,67,0.11942866292806001,7.826356064259059,0.016239206962004118,0.550232867598137,0.4375882148742676,18.0,
2,cosine,24,0.11942866292806001,7.826356064259059,0.016239206962004118,0.550232867598137,0.6623649597167969,18.0,
2,cosine,33,0.11942866292806001,7.826356064259059,0.016239206962004118,0.550232867598137,1.1837291717529297,18.0,
2,cosine,79,0.11942866292806001,7.826356064259059,0.016239206962004118,0.550232867598137,1.2024378776550293,18.0,
3,euclidean,0,0.3917963294649886,6.982867365857525,0.01264133166698964,0.7508316699933466,3.775792121887207,38.0,
3,euclidean,42,0.3917963294649886,6.982867365857525,0.01264133166698964,0.7508316699933466,3.8476040363311768,38.0,
3,euclidean,36,0.3917963294649886,6.982867365857525,0.01264133166698964,0.7508316699933466,4.274109363555908,38.0,
3,euclidean,12,0.3917963294649886,6.982867365857525,0.01264133166698964,0.7508316699933466,4.267122268676758,38.0,
3,euclidean,55,0.3917963294649886,6.982867365857525,0.01264133166698964,0.7508316699933466,4.496349096298218,38.0,
3,euclidean,100,0.3917963294649886,6.982867365857525,0.01264133166698964,0.7508316699933466,4.856705904006958,38.0,
3,manhattan,0,0.17805638906201524,7.226496670168127,0.014130969562349369,0.6197604790419161,2.970724105834961,24.0,
3,euclidean,24,0.3917963294649886,6.982867365857525,0.01264133166698964,0.7508316699933466,4.907135009765625,38.0,
3,euclidean,67,0.3917963294649886,6.982867365857525,0.01264133166698964,0.7508316699933466,4.982273101806641,38.0,
3,manhattan,42,0.16851874473093886,7.243711168156763,0.014081417969141046,0.6220891550232868,2.8343679904937744,21.0,
3,euclidean,33,0.3917963294649886,6.982867365857525,0.01264133166698964,0.7508316699933466,4.614471912384033,38.0,
3,euclidean,79,0.3917963294649886,6.982867365857525,0.01264133166698964,0.7508316699933466,4.626783132553101,38.0,
3,manhattan,12,0.16851874473093886,7.243711168156763,0.014081417969141046,0.6220891550232868,2.2362728118896484,21.0,
3,manhattan,36,0.16851874473093886,7.243711168156763,0.014081417969141046,0.6220891550232868,2.2003931999206543,21.0,
3,manhattan,55,0.16851874473093886,7.243711168156763,0.014081417969141046,0.6220891550232868,1.7111620903015137,21.0,
3,manhattan,100,0.16851874473093886,7.243711168156763,0.014081417969141046,0.6220891550232868,1.3946490287780762,21.0,
3,manhattan,67,0.16851874473093886,7.243711168156763,0.014081417969141046,0.6220891550232868,1.5528380870819092,21.0,
3,manhattan,24,0.16851874473093886,7.243711168156763,0.014081417969141046,0.6220891550232868,1.630284070968628,21.0,
