Dataset,Metric,Algorithm,Min Samples,Silhouette,ARI,DBI,Purity,Num Clusters,Time (s)
satimage,chebyshev,ball_tree,2,0.1811095629593616,0.0200292234262726,1.086352845884274,0.4438228438228438,631,37.44447875022888
satimage,chebyshev,ball_tree,3,0.1412809835563361,0.0196697359662143,1.1722108401793143,0.3667443667443667,158,37.46147418022156
satimage,chebyshev,ball_tree,4,0.2150850730538787,0.0152574453973139,1.2517375263493165,0.3247863247863248,71,40.33953070640564
satimage,chebyshev,ball_tree,5,0.233187594379906,0.0137012471382506,1.130668854909123,0.3236985236985237,46,40.4305305480957
satimage,chebyshev,ball_tree,6,0.3098159144225111,0.0034888974599289,1.1099787870183275,0.3407925407925408,29,37.97656846046448
satimage,chebyshev,ball_tree,7,0.2798911987505439,0.0019736378589322,1.4469112844560157,0.3532245532245532,24,38.00009322166443
satimage,chebyshev,ball_tree,8,0.382640877648133,-0.0015307535453118,1.2984617866124637,0.3351981351981352,18,41.84434771537781
satimage,chebyshev,ball_tree,9,0.4354288658165223,-0.0007539808760209,1.4337616991764135,0.3296037296037296,15,41.89082384109497
satimage,chebyshev,ball_tree,10,0.6001807813060291,0.0039144731824686,0.823615592771608,0.3491841491841492,11,38.28182530403137
satimage,chebyshev,ball_tree,11,0.5813046032603884,0.012422046549222,0.68268088182939,0.3872571872571873,9,38.28682827949524
satimage,chebyshev,ball_tree,12,0.6072072545557335,0.0066657726839293,0.8408729004878479,0.3600621600621601,10,38.75931525230408
satimage,chebyshev,ball_tree,13,0.6034767253563017,0.0115246898998371,0.8212002512202211,0.365034965034965,10,38.54731726646423
satimage,chebyshev,ball_tree,14,0.625232590314574,0.0067524051065414,0.883271625198414,0.3524475524475524,8,38.80782985687256
satimage,chebyshev,ball_tree,15,0.6925061789671421,0.0025036228363575,0.7992879244270885,0.3392385392385392,7,38.75743865966797
satimage,chebyshev,brute,2,0.1811095629593616,0.0200292234262726,1.086352845884274,0.4438228438228438,631,436.3159244060517
satimage,chebyshev,brute,3,0.1412809835563361,0.0196697359662143,1.1722108401793143,0.3667443667443667,158,435.6989269256592
satimage,chebyshev,brute,4,0.2150850730538787,0.0152574453973139,1.2517375263493165,0.3247863247863248,71,435.2179276943207
satimage,chebyshev,brute,5,0.233187594379906,0.0137012471382506,1.130668854909123,0.3236985236985237,46,435.7819266319275
satimage,chebyshev,brute,6,0.3098159144225111,0.0034888974599289,1.1099787870183275,0.3407925407925408,29,434.8709275722504
satimage,chebyshev,brute,7,0.2798911987505439,0.0019736378589322,1.4469112844560157,0.3532245532245532,24,434.4389266967773
satimage,chebyshev,brute,8,0.382640877648133,-0.0015307535453118,1.2984617866124637,0.3351981351981352,18,435.0421600341797
satimage,chebyshev,brute,9,0.4354288658165223,-0.0007539808760209,1.4337616991764135,0.3296037296037296,15,435.1631577014923
satimage,chebyshev,brute,10,0.6001807813060291,0.0039144731824686,0.823615592771608,0.3491841491841492,11,434.6361591815949
satimage,chebyshev,brute,11,0.5813046032603884,0.012422046549222,0.68268088182939,0.3872571872571873,9,440.03163051605225
satimage,chebyshev,brute,12,0.6072072545557335,0.0066657726839293,0.8408729004878479,0.3600621600621601,10,439.75463032722473
satimage,chebyshev,brute,13,0.6034767253563017,0.0115246898998371,0.8212002512202211,0.365034965034965,10,445.8583869934082
satimage,chebyshev,brute,14,0.625232590314574,0.0067524051065414,0.883271625198414,0.3524475524475524,8,297.12177872657776
satimage,chebyshev,brute,15,0.6925061789671421,0.0025036228363575,0.7992879244270885,0.3392385392385392,7,453.4474573135376
satimage,chebyshev,kd_tree,2,0.1811095629593616,0.0200292234262726,1.086352845884274,0.4438228438228438,631,32.49577116966248
satimage,chebyshev,kd_tree,3,0.1412809835563361,0.0196697359662143,1.1722108401793143,0.3667443667443667,158,36.17208433151245
satimage,chebyshev,kd_tree,4,0.2150850730538787,0.0152574453973139,1.2517375263493165,0.3247863247863248,71,36.39417505264282
satimage,chebyshev,kd_tree,5,0.233187594379906,0.0137012471382506,1.130668854909123,0.3236985236985237,46,34.41122555732727
satimage,chebyshev,kd_tree,6,0.3098159144225111,0.0034888974599289,1.1099787870183275,0.3407925407925408,29,33.17940735816956
satimage,chebyshev,kd_tree,7,0.2798911987505439,0.0019736378589322,1.4469112844560157,0.3532245532245532,24,33.65417146682739
satimage,chebyshev,kd_tree,8,0.382640877648133,-0.0015307535453118,1.2984617866124637,0.3351981351981352,18,33.288167238235474
satimage,chebyshev,kd_tree,9,0.4354288658165223,-0.0007539808760209,1.4337616991764135,0.3296037296037296,15,42.31782698631287
satimage,chebyshev,kd_tree,10,0.6001807813060291,0.0039144731824686,0.823615592771608,0.3491841491841492,11,48.10293960571289
satimage,chebyshev,kd_tree,11,0.5813046032603884,0.012422046549222,0.68268088182939,0.3872571872571873,9,45.953935384750366
satimage,chebyshev,kd_tree,12,0.6072072545557335,0.0066657726839293,0.8408729004878479,0.3600621600621601,10,45.168941020965576
satimage,chebyshev,kd_tree,13,0.6034767253563017,0.0115246898998371,0.8212002512202211,0.365034965034965,10,28.837223768234253
satimage,chebyshev,kd_tree,14,0.625232590314574,0.0067524051065414,0.883271625198414,0.3524475524475524,8,27.84717082977295
satimage,chebyshev,kd_tree,15,0.6925061789671421,0.0025036228363575,0.7992879244270885,0.3392385392385392,7,36.72425723075867
satimage,euclidean,ball_tree,2,0.2478230918957216,0.0220787694298788,0.928775809003921,0.436052836052836,648,47.26232099533081
satimage,euclidean,ball_tree,3,0.3485620725701579,0.011397835524183,0.9024513984765008,0.3022533022533022,133,47.32831859588623
