Dataset,k,Distance,Seed,ARI,Silhouette,DBI,Accuracy,Iterations
satimage,2,cosine,0,0.1891742619158018,0.3481496828078039,1.2072698900906125,0.4085470085470085,5
satimage,2,cosine,12,0.3051694995259837,0.2483950465830507,1.6943097059101473,0.468997668997669,16
satimage,2,cosine,24,0.2034956116675068,0.3431880074849485,1.2380315847945376,0.4271950271950272,10
satimage,2,cosine,33,0.1891742619158018,0.3481496828078039,1.2072698900906125,0.4085470085470085,8
satimage,2,cosine,36,0.2034956116675068,0.3431880074849485,1.2380315847945376,0.4271950271950272,10
satimage,2,cosine,42,0.2034956116675068,0.3431880074849485,1.2380315847945376,0.4271950271950272,10
satimage,2,cosine,55,0.1891742619158018,0.3481496828078039,1.2072698900906125,0.4085470085470085,7
satimage,2,cosine,67,0.2033799118296558,0.3432830948383605,1.238488718903684,0.4271950271950272,7
satimage,2,cosine,79,0.2034956116675068,0.3431880074849485,1.2380315847945376,0.4271950271950272,11
satimage,2,cosine,100,0.2034956116675068,0.3431880074849485,1.2380315847945376,0.4271950271950272,12
satimage,2,euclidean,0,0.2030207019194541,0.3415310314691456,1.2288134650728664,0.425019425019425,20
satimage,2,euclidean,12,0.1037161631809134,0.3255462277258005,1.48051433576088,0.335042735042735,30
satimage,2,euclidean,24,0.2030207019194541,0.3415310314691456,1.2288134650728664,0.425019425019425,21
satimage,2,euclidean,33,0.1920077127509226,0.3469096313135365,1.1880046559308122,0.4150738150738151,10
satimage,2,euclidean,36,0.2030207019194541,0.3415310314691456,1.2288134650728664,0.425019425019425,18
satimage,2,euclidean,42,0.1920077127509226,0.3469096313135365,1.1880046559308122,0.4150738150738151,12
satimage,2,euclidean,55,0.202913717839953,0.3415588027938969,1.228910880391199,0.425019425019425,7
satimage,2,euclidean,67,0.2029884301112329,0.3415893515450572,1.2291067735805306,0.425019425019425,12
satimage,2,euclidean,79,0.0857957077624683,0.490011722138823,0.7594121076824917,0.3334887334887335,4
satimage,2,euclidean,100,0.1920077127509226,0.3469096313135365,1.1880046559308122,0.4150738150738151,13
satimage,2,manhattan,0,0.2034831510954143,0.3351411025241907,1.208761136522971,0.4219114219114219,11
satimage,2,manhattan,12,0.2034831510954143,0.3351411025241907,1.208761136522971,0.4219114219114219,12
satimage,2,manhattan,24,0.1962220060977587,0.3475710884755563,1.1954906060821529,0.416006216006216,13
satimage,2,manhattan,33,0.2034831510954143,0.3351411025241907,1.208761136522971,0.4219114219114219,10
satimage,2,manhattan,36,0.2034831510954143,0.3351411025241907,1.208761136522971,0.4219114219114219,10
satimage,2,manhattan,42,0.1961181166171975,0.3475329482598883,1.1949233328868092,0.416006216006216,11
satimage,2,manhattan,55,0.2034831510954143,0.3351411025241907,1.208761136522971,0.4219114219114219,8
satimage,2,manhattan,67,0.2034831510954143,0.3351411025241907,1.208761136522971,0.4219114219114219,9
satimage,2,manhattan,79,0.0867136931161413,0.4883990793892571,0.7691473950431792,0.333954933954934,6
satimage,2,manhattan,100,0.2034831510954143,0.3351411025241907,1.208761136522971,0.4219114219114219,13
satimage,3,cosine,0,0.3244495577702231,0.4056123548224826,1.0268762624388217,0.5285159285159285,7
satimage,3,cosine,12,0.3244495577702231,0.4056123548224826,1.0268762624388217,0.5285159285159285,9
satimage,3,cosine,24,0.3244495577702231,0.4056123548224826,1.0268762624388217,0.5285159285159285,11
satimage,3,cosine,33,0.3244675137189829,0.4056166000893138,1.026896773213518,0.5285159285159285,6
satimage,3,cosine,36,0.3244495577702231,0.4056123548224826,1.0268762624388217,0.5285159285159285,8
satimage,3,cosine,42,0.3244495577702231,0.4056123548224826,1.0268762624388217,0.5285159285159285,8
satimage,3,cosine,55,0.3244495577702231,0.4056123548224826,1.0268762624388217,0.5285159285159285,10
satimage,3,cosine,67,0.3244495577702231,0.4056123548224826,1.0268762624388217,0.5285159285159285,12
satimage,3,cosine,79,0.3244675137189829,0.4056166000893138,1.026896773213518,0.5285159285159285,4
satimage,3,cosine,100,0.3244495577702231,0.4056123548224826,1.0268762624388217,0.5285159285159285,11
satimage,3,euclidean,0,0.293621494510155,0.4373241913867239,0.8118163720158833,0.517016317016317,12
satimage,3,euclidean,12,0.293621494510155,0.4373241913867239,0.8118163720158833,0.517016317016317,11
satimage,3,euclidean,24,0.293621494510155,0.4373241913867239,0.8118163720158833,0.517016317016317,17
satimage,3,euclidean,33,0.293621494510155,0.4373241913867239,0.8118163720158833,0.517016317016317,10
satimage,3,euclidean,36,0.293621494510155,0.4373241913867239,0.8118163720158833,0.517016317016317,12
satimage,3,euclidean,42,0.2939510633593387,0.4373548486649157,0.8120143268450858,0.5173271173271173,9
satimage,3,euclidean,55,0.293621494510155,0.4373241913867239,0.8118163720158833,0.517016317016317,12
satimage,3,euclidean,67,0.293621494510155,0.4373241913867239,0.8118163720158833,0.517016317016317,13
satimage,3,euclidean,79,0.293621494510155,0.4373241913867239,0.8118163720158833,0.517016317016317,9
satimage,3,euclidean,100,0.3069103704840247,0.2205097649586656,1.4913148115930646,0.5578865578865578,16
satimage,3,manhattan,0,0.2954306910862116,0.4358324971443458,0.8118098117026783,0.5154623154623155,11
satimage,3,manhattan,12,0.2954306910862116,0.4358324971443458,0.8118098117026783,0.5154623154623155,12
satimage,3,manhattan,24,0.2954306910862116,0.4358324971443458,0.8118098117026785,0.5154623154623155,21
satimage,3,manhattan,33,0.2954306910862116,0.4358324971443458,0.8118098117026785,0.5154623154623155,8
satimage,3,manhattan,36,0.2954306910862116,0.4358324971443458,0.8118098117026783,0.5154623154623155,12
