k,distance,Adjusted Rand Index,Davies-Bouldin Index,Silhouette Score,Purity Score,Time (s),Iterations,Error,dataset
2,cosine,0.0065295093043001,2.296020715253356,0.1530545379948235,0.1262626262626262,1.3476548194885254,0.0,,vowel
2,cosine,0.3546761947879022,7.737127216142057,0.0119817565463926,0.6929474384564205,165.2356927394867,0.0,,splice
2,cosine,0.1891742619158018,1.2072698900906125,0.3481496828078039,0.4085470085470085,97.72957015037537,0.0,,satimage
2,euclidean,0.0149297699694422,1.8926998364981895,0.180995732820822,0.1373737373737373,1.521782112121582,0.0,,vowel
2,euclidean,0.0057237165262049,2.0210482198479203,-0.0042670177907316,0.5548902195608783,160.72703957557678,0.0,,splice
2,euclidean,0.1920077127509226,1.1880046559308122,0.3469096313135365,0.4150738150738151,98.6466076374054,0.0,,satimage
2,manhattan,0.0004173753459141,2.426933665925137,0.1428032675666502,0.108080808080808,1.3236927032470702,0.0,,vowel
2,manhattan,0.1412477797073492,8.426828280018606,0.0136243220895374,0.550232867598137,163.32602643966675,0.0,,splice
2,manhattan,0.1961181166171975,1.1949233328868092,0.3475329482598883,0.416006216006216,98.85430598258972,0.0,,satimage
3,cosine,0.0371534149749796,2.03886663390519,0.1480030046015392,0.1474747474747475,2.6643049716949463,0.0,,vowel
3,cosine,0.3485924820150731,6.260058179110619,-0.0028338914826255,0.6899534264803726,327.20330357551575,0.0,,splice
3,cosine,0.3244495577702231,1.026876262438822,0.4056123548224826,0.5285159285159285,197.0945065021515,0.0,,satimage
3,euclidean,0.0308354732403874,1.9690621016488976,0.1507873647968789,0.1595959595959595,2.881077599525452,0.0,,vowel
3,euclidean,0.0089189326249888,1.7968764270296198,-0.0236372987664975,0.5575515635395875,322.50559091567993,0.0,,splice
3,euclidean,0.2935050024581658,0.8118609881409716,0.4373195507527743,0.517016317016317,197.0987627506256,0.0,,satimage
3,manhattan,0.0262460882339337,2.049300707540948,0.1453135079697866,0.1474747474747475,2.671491432189941,0.0,,vowel
3,manhattan,0.1681541399538527,7.242733397724275,0.0140955967978039,0.6147704590818364,329.3356285095215,0.0,,splice
3,manhattan,0.2959704048971557,0.8117974212700095,0.4358535181594852,0.5157731157731158,197.20763039588928,0.0,,satimage
4,cosine,0.0974899830384613,1.763665734276903,0.1714111150424149,0.1929292929292929,4.131593346595764,0.0,,vowel
4,cosine,0.3915212253468652,5.595725084511362,-0.0029646103183694,0.7514970059880239,497.36125802993774,0.0,,splice
4,cosine,0.4592438303145825,1.0516636420617718,0.3661038247212276,0.6797202797202797,297.26191806793213,0.0,,satimage
4,euclidean,0.0958193951692938,1.8131088172058265,0.1708024755365642,0.206060606060606,4.335031795501709,0.0,,vowel
4,euclidean,0.0117455433733827,1.7306040499683562,-0.0332224859037721,0.5598802395209581,476.19027280807495,0.0,,splice
4,euclidean,0.4591687248955322,0.9652148875216426,0.3954065609970235,0.6901320901320901,299.25451922416687,0.0,,satimage
4,manhattan,0.0698321366166363,1.875207136843397,0.1653576702982191,0.1818181818181818,4.424138617515564,0.0,,vowel
4,manhattan,0.1285613972338967,7.476839405202845,0.0131818592760345,0.626746506986028,496.93013882637024,0.0,,splice
4,manhattan,0.3487922073014423,1.1464840953298834,0.3184622522695513,0.5527583527583527,299.67412209510803,0.0,,satimage
5,cosine,0.0943143127040148,1.894453428937408,0.1559505259475122,0.1898989898989898,5.557566809654236,0.0,,vowel
5,cosine,0.3878291015869109,4.916317056098982,-0.012775294777149,0.7521623419827013,658.784161567688,0.0,,splice
5,cosine,0.5748288498020405,1.2496482710870376,0.3191074063679868,0.7504273504273504,394.0905351638794,0.0,,satimage
5,euclidean,0.1014210044544388,1.9837626148332093,0.1524084517846653,0.2131313131313131,6.283186411857605,0.0,,vowel
5,euclidean,0.0142135790479941,1.6811033325021598,-0.0398462992309343,0.56187624750499,632.3920855522156,0.0,,splice
5,euclidean,0.4632269497230069,1.102107865988931,0.3319005604757639,0.6705516705516705,401.7383613586426,0.0,,satimage
5,manhattan,0.077849391958269,2.0365165731574604,0.1450686510714649,0.2070707070707071,5.92887761592865,0.0,,vowel
5,manhattan,0.1321114671737228,7.476311210961302,0.0119415904530028,0.66833000665336,669.9558351039886,0.0,,splice
5,manhattan,0.4717049558385347,1.1030640627851611,0.3252041597796319,0.6764568764568765,401.0995855331421,0.0,,satimage
6,cosine,0.1060112783103479,1.9229663736145723,0.1465975230980887,0.2313131313131313,7.504651379585266,0.0,,vowel
6,cosine,0.3857860417557419,4.458400423076591,-0.0186319553164104,0.7514970059880239,816.8863332271576,0.0,,splice
6,cosine,0.5686192233917937,1.3613381889396214,0.3130754783317987,0.7527583527583528,494.4421405792236,0.0,,satimage
6,euclidean,0.1067147859051906,1.9552299657449468,0.1331256059050074,0.2242424242424242,7.856713581085205,0.0,,vowel
6,euclidean,0.015869587385114,1.6050275097822164,-0.0445069753874128,0.5632069194943446,793.5555944442749,0.0,,splice
6,euclidean,0.5307924144501486,1.0276749650398431,0.3514351345677349,0.7406371406371406,494.3417901992798,0.0,,satimage
6,manhattan,0.0855430443246813,2.0677317443588263,0.1400275119346372,0.2131313131313131,7.597903919219971,0.0,,vowel
