k,distance,seed,Adjusted Rand Index,Davies-Bouldin Index,Silhouette Score,Purity Score,Time (s),Iterations,Error
2,euclidean,67,0.030537273914832706,2.3983046909524885,0.12498730003032564,0.14646464646464646,0.2432079315185547,10.0,
2,euclidean,100,0.030537273914832706,2.3983046909524885,0.12498730003032564,0.14646464646464646,0.08882927894592285,10.0,
2,euclidean,0,0.01492976996944227,1.89269983649819,0.18099573282082196,0.13737373737373737,0.07430672645568848,10.0,
2,euclidean,36,0.01492976996944227,1.89269983649819,0.18099573282082196,0.13737373737373737,0.08444809913635254,10.0,
2,euclidean,55,0.030537273914832706,2.3983046909524885,0.12498730003032564,0.14646464646464646,0.09420585632324219,10.0,
2,euclidean,33,0.030537273914832706,2.3983046909524885,0.12498730003032564,0.14646464646464646,0.09539318084716797,10.0,
2,euclidean,24,0.030537273914832706,2.3983046909524885,0.12498730003032564,0.14646464646464646,0.12432003021240234,10.0,
2,euclidean,12,0.030537273914832706,2.3983046909524885,0.12498730003032564,0.14646464646464646,0.10741877555847168,10.0,
2,manhattan,0,0.0004173753459141342,2.426933665925137,0.14280326756665024,0.10808080808080808,0.0911097526550293,10.0,
2,euclidean,79,0.01492976996944227,1.89269983649819,0.18099573282082196,0.13737373737373737,0.11026906967163086,10.0,
2,euclidean,42,0.015635683606020405,1.9603231391849858,0.17574743214355654,0.13737373737373737,0.3365938663482666,31.0,
2,manhattan,42,0.0004173753459141342,2.426933665925137,0.14280326756665024,0.10808080808080808,0.09874606132507324,10.0,
2,manhattan,36,0.0004173753459141342,2.426933665925137,0.14280326756665024,0.10808080808080808,0.03379082679748535,10.0,
2,manhattan,12,0.0004173753459141342,2.426933665925137,0.14280326756665024,0.10808080808080808,0.24332976341247559,10.0,
2,manhattan,55,0.0004173753459141342,2.426933665925137,0.14280326756665024,0.10808080808080808,0.24246001243591309,10.0,
2,manhattan,100,0.0004173753459141342,2.426933665925137,0.14280326756665024,0.10808080808080808,0.22647380828857422,10.0,
2,manhattan,33,0.0004173753459141342,2.426933665925137,0.14280326756665024,0.10808080808080808,0.20262479782104492,10.0,
2,manhattan,24,0.0004173753459141342,2.426933665925137,0.14280326756665024,0.10808080808080808,0.21477484703063965,10.0,
2,manhattan,67,0.0004173753459141342,2.426933665925137,0.14280326756665024,0.10808080808080808,0.21821808815002441,10.0,
2,manhattan,79,0.0004173753459141342,2.426933665925137,0.14280326756665024,0.10808080808080808,0.21654200553894043,10.0,
2,cosine,0,0.008117323029837007,2.23186661670987,0.15853486960124105,0.12727272727272726,0.22835373878479004,26.0,
2,cosine,42,0.008117323029837007,2.23186661670987,0.15853486960124105,0.12727272727272726,0.195418119430542,26.0,
2,cosine,36,0.008117323029837007,2.23186661670987,0.15853486960124105,0.12727272727272726,0.21013498306274414,26.0,
