k,m,xi,Adjusted Rand Index,Davies-Bouldin Index,Silhouette Score,Purity Score,Time (s),Iterations, Error
2,2.5,0.3,0.19639906990781975,1.198281888624015,0.3452467690928979,0.4200984200984201,2.218655824661255,16.666666666666668,
2,1.5,0.7,0.1953460655508467,1.2007037905774016,0.3454169406328346,0.4189588189588189,2.3163224856058755,19.0,
2,1.5,0.3,0.15523150938911776,1.3386827644031427,0.3424955966344369,0.3621341621341621,2.4291158517201743,20.0,
2,1.5,0.5,0.19560040358042474,1.2006589098557539,0.3453405020240677,0.4189070189070189,2.5692925453186035,20.666666666666668,
2,3.5,0.3,0.1958474724566205,1.1979674419646626,0.3453496790501642,0.42015022015022013,2.3071628411610923,15.0,
2,2.5,0.5,0.19544250176478298,1.218395802159195,0.34430791958835183,0.4217560217560217,2.8222479025522866,17.333333333333332,
2,3.5,0.5,0.19430753080360885,1.237508623853144,0.34290749484611416,0.4226884226884227,3.7486462593078613,24.333333333333332,
2,2.5,0.7,0.15860239975996557,1.0382435691377403,0.39490417352092283,0.39036519036519035,4.220721801122029,26.666666666666668,
3,1.5,0.3,0.29358266382615866,0.8118312440575793,0.43732264450874075,0.517016317016317,2.974344809850057,19.0,
3,1.5,0.5,0.29358266382615866,0.8118312440575793,0.43732264450874064,0.517016317016317,2.320302963256836,15.0,
3,1.5,0.7,0.29362149451015507,0.8118163720158833,0.4373241913867239,0.517016317016317,2.1918373902638755,14.666666666666666,
2,3.5,0.7,0.19642842371163904,1.1786951111509398,0.3469163422834313,0.42004662004662,5.6578049659729,39.666666666666664,
3,2.5,0.3,0.2930923434960928,0.8115265637495882,0.4373224361696355,0.5167055167055167,1.6492915153503418,14.333333333333334,
3,2.5,0.5,0.29307116259460114,0.8113076721777928,0.43732355550945173,0.5165501165501165,1.6050430138905842,13.333333333333334,
3,2.5,0.7,0.29281794207217954,0.81123125880865,0.4373121102804349,0.5163947163947163,1.6888969739278157,15.0,
3,3.5,0.3,0.2925838804181866,0.8112978478985348,0.43730941642479926,0.5163947163947163,2.390469710032145,14.666666666666666,
