k,m,xi,Adjusted Rand Index,Adjusted Rand Index Seed,Davies-Bouldin Index,Davies-Bouldin Index Seed,Silhouette Score,Silhouette Score Seed,Purity Score,Purity Score Seed,Time (s),Time (s) Seed,Iterations,Iterations Seed,dataset
9,1.5,0.3,0.4639693360202302,2,1.2054838109641868,2,0.2919317693147678,2,0.7947163947163948,2,6.682392358779907,0,36,0,satimage
9,1.5,0.5,0.4697347383575046,0,1.204465339228986,2,0.2918190402424044,2,0.7953379953379953,2,8.446427583694458,1,46,1,satimage
9,1.5,0.7,0.4696738501472212,4,1.20434909812408,2,0.2917371031822103,2,0.795959595959596,2,6.021911144256592,0,33,0,satimage
9,2.5,0.3,0.5521740342775631,4,1.1969250329052423,1,0.317922633551973,4,0.8118104118104118,4,8.662904977798462,1,46,3,satimage
9,2.5,0.5,0.4646604513599172,1,1.193296511949713,1,0.2901286583286485,0,0.7961149961149961,0,7.071563005447388,1,40,1,satimage
9,2.5,0.7,0.4609903324012928,1,1.193765259706388,3,0.2899663505687403,1,0.7967365967365967,0,11.055278539657593,4,60,4,satimage
9,3.5,0.3,0.4790186073346635,0,1.195249312989923,4,0.2903910942269713,4,0.8076146076146076,1,6.6452624797821045,3,37,1,satimage
9,3.5,0.5,0.4768713866545934,4,1.1917880321007044,2,0.2892093118244885,0,0.8087024087024087,1,5.74233865737915,1,39,1,satimage
9,3.5,0.7,0.5081987225274021,0,1.19245143295249,2,0.3002601599184581,0,0.7995337995337995,3,8.451534032821655,1,47,1,satimage
10,1.5,0.3,0.4547584119787037,0,1.264112893638064,1,0.2757034352944229,1,0.8017094017094017,0,6.501147508621216,1,35,1,satimage
10,1.5,0.5,0.4569923882845861,4,1.2700577050857134,0,0.2868885827791364,4,0.8017094017094017,0,8.547245979309082,4,45,4,satimage
10,1.5,0.7,0.455489329391508,4,1.2636515062995932,0,0.2864330906749435,4,0.8027972027972028,0,9.28639268875122,4,55,2,satimage
10,2.5,0.3,0.4523700004772655,0,1.1923352988723654,3,0.2855694775333395,0,0.8097902097902098,2,7.4878830909729,3,40,3,satimage
10,3.5,0.3,0.4445229683435276,3,1.1997651477875333,2,0.2795453696057076,2,0.8096348096348096,4,6.440988540649414,1,34,1,satimage
10,2.5,0.5,0.4446020541560808,2,1.2579229306740392,2,0.2716860337994475,2,0.8102564102564103,4,6.701800584793091,1,38,0,satimage
10,2.5,0.7,0.4449552429197266,2,1.2551380184058485,2,0.2712205128206671,3,0.8096348096348096,0,8.493486404418945,0,52,0,satimage
10,3.5,0.5,0.4426983494332367,2,1.251174704249023,2,0.2694462581706323,4,0.8164724164724164,0,8.648286819458008,0,50,0,satimage
11,1.5,0.3,0.4562496428341898,0,1.2299407264295643,0,0.2793128635023443,2,0.8091686091686092,2,7.988997220993042,2,40,3,satimage
11,1.5,0.5,0.4556816347033257,0,1.230125220323817,0,0.2786948417864417,3,0.8147630147630147,2,7.812183141708374,0,39,4,satimage
10,3.5,0.7,0.4395309898123974,3,1.286124588450014,3,0.2677392625677495,4,0.8156954156954157,0,9.781399965286257,0,50,0,satimage
11,1.5,0.7,0.5061973164495859,3,1.218562950755098,3,0.2988792168331914,3,0.8146076146076147,2,9.176674604415894,0,43,2,satimage
11,2.5,0.3,0.4487014988994779,1,1.2321574701930005,0,0.2762195768685734,1,0.8158508158508159,2,8.360065698623657,0,38,0,satimage
11,2.5,0.5,0.4437225716984259,1,1.2541035738340949,1,0.2754648050066131,1,0.8158508158508159,2,7.653981447219849,0,39,0,satimage
11,2.5,0.7,0.44334864241784,1,1.2434900948376624,1,0.2739643932760713,3,0.8146076146076147,2,11.789218664169312,3,58,3,satimage
11,3.5,0.3,0.4409020244650967,4,1.256166835939094,4,0.2748068433171666,4,0.8133644133644133,0,5.674991607666016,0,35,0,satimage
11,3.5,0.5,0.4427273625262959,3,1.2148312911764956,3,0.2705457436817939,3,0.8094794094794094,2,5.319221019744873,1,32,1,satimage
12,1.5,0.3,0.441946984785258,0,1.3350989576953214,0,0.2745667375712041,0,0.8184926184926185,4,6.389663696289063,4,33,4,satimage
11,3.5,0.7,0.4410761074015349,3,1.2159365128914366,3,0.2677147384912772,3,0.8136752136752137,2,8.293171167373657,1,40,1,satimage
12,1.5,0.5,0.4426313117155609,0,1.3235261102524127,4,0.2738823723405694,0,0.8243978243978244,4,8.409937858581543,1,49,4,satimage
12,1.5,0.7,0.4416028574949078,4,1.335499333106972,4,0.2736416431730176,4,0.8163170163170164,1,8.547433137893677,4,55,4,satimage
12,2.5,0.5,0.408589613373634,3,1.311403863368504,3,0.2457356759127663,0,0.8239316239316239,3,6.6754913330078125,2,33,2,satimage
12,2.5,0.3,0.4223874300003793,2,1.3173644136676672,3,0.2594347744159469,2,0.822066822066822,3,7.576295614242554,2,36,2,satimage
12,2.5,0.7,0.4130784306445606,4,1.308007855159752,3,0.252205395322374,4,0.8203574203574203,3,8.369636535644531,3,46,3,satimage
12,3.5,0.3,0.4440810988667126,3,1.2974795659066325,3,0.2565893328893092,0,0.8259518259518259,3,8.698814630508423,4,51,1,satimage
12,3.5,0.5,0.4185512949315573,0,1.2955240306996958,2,0.2523345672490701,0,0.8198912198912199,2,9.7586989402771,0,51,0,satimage
12,3.5,0.7,0.3797268937072014,2,1.40125219427439,4,0.2189124405297752,0,0.8096348096348096,2,13.561725616455078,2,77,0,satimage
13,1.5,0.3,0.4404880048733873,4,1.3016437358624275,0,0.2736478915783218,4,0.8268842268842269,1,9.47446584701538,4,49,0,satimage
13,1.5,0.5,0.4480478522985525,1,1.2383875607721022,1,0.278319316813066,1,0.8222222222222222,4,9.56929850578308,1,49,1,satimage
13,2.5,0.3,0.4073156470584904,0,1.343849466277293,0,0.2460205997167195,3,0.8268842268842269,0,10.448125839233398,0,54,0,satimage
13,1.5,0.7,0.4500132014752666,1,1.2377956270748371,1,0.2783056376503612,1,0.8256410256410256,4,9.747424125671388,1,50,1,satimage
13,2.5,0.5,0.4023534679138259,3,1.370212236005862,3,0.2448735771414204,3,0.8214452214452215,3,9.324174880981444,2,49,2,satimage
13,2.5,0.7,0.4003694496848684,4,1.3625910188068078,4,0.2425228787453531,4,0.8198912198912199,4,8.644044637680054,0,46,0,satimage
13,3.5,0.3,0.4074923937431632,4,1.2937697210404668,4,0.245444220590707,4,0.825019425019425,4,8.46254825592041,1,42,2,satimage
13,3.5,0.5,0.3799325880864708,2,1.3695601055423667,4,0.2237418796077468,2,0.8128982128982128,2,8.80734920501709,2,48,0,satimage
13,3.5,0.7,0.3747646958526159,4,1.3776419525026589,3,0.2181437403891732,3,0.8136752136752137,4,9.818739891052246,3,52,3,satimage
14,1.5,0.3,0.4120923826950007,0,1.3045636381571089,0,0.2513185162522661,0,0.8251748251748252,0,8.453663110733032,2,43,2,satimage
14,1.5,0.5,0.4146838168013616,2,1.3104586564960778,0,0.2545859492152713,2,0.8259518259518259,0,9.197568893432615,2,51,2,satimage
14,1.5,0.7,0.4206168603845002,0,1.3085433232350812,4,0.258694421348181,0,0.8268842268842269,4,8.720242500305176,1,50,2,satimage
14,2.5,0.3,0.3862760068675471,3,1.3834788445763635,3,0.2327103321795223,1,0.8200466200466201,3,7.774118900299072,2,45,1,satimage
14,2.5,0.5,0.425250901576108,3,1.288860484237987,3,0.2566072973429729,3,0.8153846153846154,1,8.734668016433716,0,44,0,satimage
14,3.5,0.3,0.4220259467286272,3,1.3415853973192464,3,0.2478452386084055,3,0.8198912198912199,3,7.438256502151489,1,43,1,satimage
14,2.5,0.7,0.4216785106524774,2,1.3324343622871635,2,0.24732391761363,2,0.8177156177156177,2,8.569206237792969,3,49,3,satimage
14,3.5,0.5,0.3710661881673155,0,1.464311688824134,4,0.2247865141823853,0,0.8125874125874126,3,8.71222734451294,0,45,0,satimage
15,1.5,0.3,0.3860458523495975,3,1.3915143761328346,3,0.2335875561200499,3,0.8225330225330225,3,8.710917949676514,0,42,0,satimage
14,3.5,0.7,0.3443664684619459,1,1.4488051395620032,1,0.1965388611054644,1,0.8066822066822067,1,16.374684810638428,1,83,1,satimage
15,1.5,0.5,0.3870862452750609,0,1.3712878501924972,1,0.2341546047296515,2,0.8248640248640249,0,8.395762920379639,2,47,2,satimage
15,1.5,0.7,0.4067294483535839,1,1.3234965069082143,1,0.2510653638987541,1,0.8259518259518259,1,11.770854949951172,4,60,3,satimage
15,2.5,0.3,0.3761809462173988,1,1.3574570391413086,0,0.2330884393013671,1,0.822066822066822,0,7.393903493881226,4,36,4,satimage
15,2.5,0.5,0.3779282559721219,2,1.4183626071891022,0,0.2298133309856564,3,0.8271950271950272,2,9.430052757263184,3,55,2,satimage
15,3.5,0.3,0.3832634204694272,1,1.397864351581782,1,0.229754608612949,1,0.820979020979021,1,9.144295454025269,0,47,0,satimage
15,2.5,0.7,0.3690197875909703,0,1.4231544460593402,0,0.223178207212689,0,0.8164724164724164,0,13.084219932556152,4,86,1,satimage
15,3.5,0.5,0.3716873690115449,2,1.4468693797086258,3,0.226584700177963,0,0.8174048174048174,1,7.984304428100586,3,59,3,satimage
15,3.5,0.7,0.3564309071573112,0,1.4843708662097517,2,0.2033831474762987,0,0.8082362082362082,2,8.479505777359009,4,53,0,satimage
2,2.5,0.3,0.270100007168326,3,7.822954635612968,4,0.0161259545964232,0,0.6493679308050565,3,2.266226053237915,2,17,3,splice
2,1.5,0.7,0.1924514888863876,4,7.822722620488138,4,0.0159738746985867,3,0.5788423153692615,4,2.327913522720337,2,17,2,splice
2,1.5,0.3,0.3605595561351584,2,7.802884585720879,2,0.016103274864779,0,0.6942781104457751,2,3.30883526802063,4,32,1,splice
2,1.5,0.5,0.1924397968595033,4,7.822418856574004,3,0.0160503538633811,0,0.5785096473719228,4,3.6914660930633545,4,28,0,splice
2,2.5,0.5,0.252007971599958,3,7.823007134363117,4,0.0161329405284434,0,0.6383898868928809,3,2.3330860137939453,2,17,2,splice
2,2.5,0.7,0.1931576046611312,4,7.822566849489362,4,0.0161140505933097,0,0.5798403193612774,4,2.4012842178344727,0,21,2,splice
2,3.5,0.3,0.202728036907801,4,7.823107717796774,1,0.0161251551965071,0,0.58416500332668,4,3.4883580207824707,0,28,0,splice
2,3.5,0.5,0.1958720807552544,4,7.822085651815906,2,0.0160830370128786,0,0.5811709913506321,4,3.0180160999298096,0,22,0,splice
2,3.5,0.7,0.1982706056760128,4,7.822917497341916,4,0.016095750596636,0,0.5825016633399867,4,2.9397647380828857,0,23,0,splice
3,1.5,0.3,0.5134353484583993,2,6.919478230179423,2,0.0128762320625133,0,0.8147039254823686,2,1.9517080783843996,3,16,0,splice
3,1.5,0.5,0.4452005022608988,2,6.939444622223888,3,0.0129279774910297,3,0.783433133732535,2,2.173656463623047,0,26,4,splice
3,1.5,0.7,0.4075619159600485,2,6.94035690760737,3,0.0131018206396891,3,0.7644710578842315,2,2.6332309246063232,0,21,0,splice
3,2.5,0.3,0.5623265284830585,2,6.893772997775586,2,0.0128892628566082,0,0.8359946773120426,2,2.635146379470825,1,20,1,splice
3,2.5,0.5,0.5324744916680654,2,6.906253700187107,2,0.0129180747369332,0,0.823020625415835,2,2.784343242645264,4,22,1,splice
3,2.5,0.7,0.4867751546144687,2,6.934984840172786,2,0.0128779436993809,3,0.8030605455755156,2,1.3231632709503174,3,19,4,splice
3,3.5,0.3,0.5930412430288091,2,6.900255909843757,2,0.0128161781257842,4,0.8496340652029275,2,2.425140142440796,1,20,0,splice
3,3.5,0.5,0.5838581396738589,2,6.896451046345178,2,0.0128667598781363,4,0.8456420492348636,2,1.991229772567749,0,15,0,splice
3,3.5,0.7,0.5741908584581426,2,6.902224889433093,2,0.0129002720885277,4,0.8419827012641384,2,1.9904816150665283,2,16,0,splice
4,1.5,0.3,0.4336420785626658,4,7.053558685720489,2,0.0126401428642034,4,0.8772455089820359,4,3.485175371170044,4,25,4,splice
4,2.5,0.3,0.4479180001165961,2,6.7088336436873774,1,0.0126835563799667,2,0.8892215568862275,2,3.1006667613983154,3,22,3,splice
4,1.5,0.5,0.4236187025799896,4,7.047260729755505,1,0.0128367774111907,0,0.872255489021956,4,3.9706311225891113,4,29,4,splice
4,2.5,0.5,0.4423664630156286,2,6.756629480721805,1,0.0127561944556225,2,0.8862275449101796,2,2.2477283477783203,0,22,3,splice
4,1.5,0.7,0.4035403609325723,0,7.051429648533265,2,0.0129115959485613,0,0.8619427811044578,0,4.886897325515747,2,40,0,splice
4,2.5,0.7,0.4303393933030763,2,6.840396756196876,1,0.0129459908501104,0,0.8795741849634066,0,2.439871072769165,4,27,1,splice
4,3.5,0.3,0.4521013349300741,1,7.058295460027323,1,0.0126512631118213,2,0.8912175648702595,1,3.48755955696106,4,25,4,splice
4,3.5,0.5,0.4462202155519306,1,7.050026746626732,1,0.0127016375980474,2,0.887890884896873,1,3.924513339996338,4,27,4,splice
4,3.5,0.7,0.4411360641443022,2,7.054860617021971,3,0.0127733291796197,1,0.8855622089155023,2,3.142848491668701,4,25,4,splice
5,1.5,0.3,0.3695523551017456,1,7.140429900889774,3,0.0126188573970941,4,0.8975382568196939,4,3.9142777919769287,3,26,3,splice
5,1.5,0.5,0.3597658417036174,4,7.164524570182789,3,0.0125561686524919,4,0.8918829008649368,4,3.618601322174072,2,28,0,splice
5,2.5,0.3,0.4226793424386807,0,7.137167356486782,3,0.0126630242418991,4,0.9055222887558216,4,2.8597424030303955,2,29,2,splice
5,1.5,0.7,0.365551496378548,4,7.1730475957386375,3,0.0127895635948532,4,0.8962075848303394,4,4.239705324172974,2,32,2,splice
5,2.5,0.5,0.412362266742257,0,7.139515653404844,3,0.0126565236439006,4,0.9028609447771124,4,3.7569854259490967,3,26,3,splice
5,2.5,0.7,0.3983423991697459,0,7.155368299175956,3,0.0126958517192256,4,0.9068529607451764,4,3.427520513534546,3,25,3,splice
5,3.5,0.3,0.3739347911175926,3,6.914265457725738,1,0.0108428045790305,4,0.8609447771124418,3,4.085467338562012,0,30,0,splice
5,3.5,0.5,0.3723661726534312,4,6.906701745928014,1,0.0108523331388966,4,0.8579507651363939,3,3.9736268520355225,4,32,4,splice
5,3.5,0.7,0.3671073254004439,4,6.978309246820167,1,0.010902497270064,4,0.8542914171656687,4,3.0617563724517822,1,30,4,splice
6,1.5,0.3,0.3224244019247151,3,7.339199530340895,3,0.011062824053836,4,0.8789088489687292,0,4.440253257751465,2,30,2,splice
6,1.5,0.7,0.3140890847166939,2,7.29865511236271,1,0.0122303171835827,1,0.885894876912841,1,2.9845755100250244,3,24,2,splice
6,2.5,0.3,0.3329529170355934,2,7.224225514611729,4,0.0100812773974075,4,0.8892215568862275,2,3.820102214813232,1,27,1,splice
6,1.5,0.5,0.3051851899968131,3,7.359747472145599,0,0.0114836948663868,3,0.8672654690618763,3,3.1828243732452397,2,30,2,splice
6,2.5,0.5,0.3261911559082482,2,7.282368259007415,4,0.0101761637507862,4,0.8838988689288091,2,4.225396633148193,1,27,1,splice
6,2.5,0.7,0.3152163260780152,2,7.380246080119597,4,0.0109151094526239,4,0.8809048569527611,3,4.830292463302612,2,36,2,splice
6,3.5,0.5,0.353685312436777,2,7.217488614818269,4,0.0093363334092201,1,0.8805721889554224,3,3.735929250717163,4,26,4,splice
6,3.5,0.3,0.3555174732608919,2,7.208353947483694,4,0.0091100367458193,3,0.9045242847638058,3,3.730178833007813,4,26,4,splice
6,3.5,0.7,0.3479304728007948,2,7.219305908597307,4,0.0096859854323013,1,0.8812375249500998,3,3.562173366546631,4,26,4,splice
7,1.5,0.3,0.3005922075562089,4,7.38132029156646,4,0.0088094496132866,4,0.8952095808383234,4,4.675342798233032,1,30,1,splice
7,1.5,0.5,0.2924975007885135,4,7.382435766094495,4,0.0096115334430063,2,0.887890884896873,4,5.047855615615845,1,33,4,splice
7,1.5,0.7,0.2915384564536191,2,7.4277682281597555,1,0.0107964171328685,1,0.8819028609447771,4,4.1586995124816895,0,28,0,splice
7,2.5,0.3,0.3125099614934316,0,7.247128008621826,4,0.0088946804638011,1,0.8968729208250167,1,3.268352746963501,1,29,1,splice
7,3.5,0.3,0.3185235872452146,3,7.360692574931252,3,0.0094442181104556,1,0.9101796407185628,3,3.1666719913482666,3,26,4,splice
7,2.5,0.5,0.3021241022917444,1,7.261614676880809,4,0.0089820087813163,1,0.9001996007984032,0,5.526423454284668,3,39,1,splice
7,2.5,0.7,0.2900704299551779,0,7.278607720410988,4,0.0102374461968887,2,0.8932135728542914,0,4.437748908996582,1,29,1,splice
7,3.5,0.5,0.3173949785577084,3,7.236544515091929,4,0.0096392058120072,1,0.9085163007318696,3,3.9338924884796143,0,26,0,splice
7,3.5,0.7,0.310757643285885,3,7.3338211157264,2,0.0097356764963909,1,0.9051896207584832,3,4.174806356430054,1,29,1,splice
8,1.5,0.3,0.2744556823459035,4,7.449105363949232,4,0.0101871496815167,0,0.919827012641384,4,5.6634626388549805,4,39,4,splice
8,1.5,0.5,0.2705443489486578,4,7.441883618227493,4,0.0102527329622339,0,0.9125083166999336,4,4.053244352340698,4,27,4,splice
8,1.5,0.7,0.2921070605923888,1,7.163263966658933,0,0.010206849839064,0,0.8962075848303394,3,3.4668128490448,4,24,4,splice
8,2.5,0.3,0.2815111301317454,2,7.32203172283772,4,0.0094889671510011,0,0.9021956087824352,4,3.77997636795044,1,26,1,splice
8,2.5,0.5,0.2725898823707036,2,7.324780480967436,4,0.009620279595721,0,0.8998669328010646,4,4.467766284942627,2,32,1,splice
8,2.5,0.7,0.2626681921314811,4,7.340201555083386,1,0.0101930277168708,0,0.9075182967398536,4,3.644801378250122,2,31,2,splice
8,3.5,0.3,0.2817068647488445,1,7.226720090805675,2,0.0085323172849562,2,0.8925482368596142,2,4.26843523979187,1,34,1,splice
8,3.5,0.5,0.2840347495068255,1,7.183036025571667,2,0.0084357961878667,2,0.896540252827678,2,4.173790454864502,0,36,0,splice
8,3.5,0.7,0.2660325878479105,1,7.204551882760146,1,0.0088904347919604,2,0.9021956087824352,2,4.655229568481445,0,32,0,splice
9,1.5,0.3,0.2433978079656128,2,7.048553981758228,3,0.0082508782555818,4,0.9001996007984032,2,3.749886989593506,1,26,1,splice
9,1.5,0.5,0.238970103636154,2,7.1481302895350325,3,0.0096762608275153,4,0.8888888888888888,2,2.948453664779663,1,27,1,splice
