Dataset,k,Feature Weighting Method,Selection Method,Distance Metric,r (if Minkowski),Accuracy,Time (seconds)
balance_0,5,chi2,sheppard,minkowski,1,0.8064516129032258,0.16497540473937988
balance_0,5,chi2,sheppard,minkowski,2,0.7903225806451613,0.16858506202697754
balance_0,5,chi2,sheppard,hamming,,0.7741935483870968,0.08541440963745117
balance_0,7,eq_weight,majority,minkowski,1,0.8709677419354839,0.15926599502563477
balance_0,7,eq_weight,majority,minkowski,2,0.7903225806451613,0.16060352325439453
balance_0,7,eq_weight,majority,hamming,,0.8709677419354839,0.08138585090637207
balance_0,7,eq_weight,idw,minkowski,1,0.8709677419354839,0.16244840621948242
balance_0,7,eq_weight,idw,minkowski,2,0.7903225806451613,0.16109561920166016
balance_0,7,eq_weight,idw,hamming,,0.8709677419354839,0.0829610824584961
balance_0,7,eq_weight,sheppard,minkowski,1,0.8709677419354839,0.16062641143798828
balance_0,7,eq_weight,sheppard,minkowski,2,0.7903225806451613,0.16089797019958496
balance_0,7,eq_weight,sheppard,hamming,,0.8709677419354839,0.08379364013671875
balance_0,7,information_gain,majority,minkowski,1,0.45161290322580644,0.19998478889465332
balance_0,7,information_gain,majority,minkowski,2,0.45161290322580644,0.19863200187683105
balance_0,7,information_gain,majority,hamming,,0.8064516129032258,0.11713409423828125
balance_0,7,information_gain,idw,minkowski,1,0.46774193548387094,0.20291519165039062
balance_0,7,information_gain,idw,minkowski,2,0.46774193548387094,0.19781732559204102
balance_0,7,information_gain,idw,hamming,,0.8225806451612904,0.11865353584289551
balance_0,7,information_gain,sheppard,minkowski,1,0.45161290322580644,0.20345759391784668
balance_0,7,information_gain,sheppard,minkowski,2,0.45161290322580644,0.19968652725219727
balance_0,7,information_gain,sheppard,hamming,,0.8064516129032258,0.11878609657287598
balance_0,7,chi2,majority,minkowski,1,0.7741935483870968,0.16489648818969727
balance_0,7,chi2,majority,minkowski,2,0.7580645161290323,0.16238737106323242
balance_0,7,chi2,majority,hamming,,0.8709677419354839,0.08284592628479004
balance_0,7,chi2,idw,minkowski,1,0.8387096774193549,0.1655571460723877
balance_0,7,chi2,idw,minkowski,2,0.7903225806451613,0.1686556339263916
balance_0,7,chi2,idw,hamming,,0.8709677419354839,0.08526468276977539
balance_0,7,chi2,sheppard,minkowski,1,0.8064516129032258,0.16729450225830078
balance_0,7,chi2,sheppard,minkowski,2,0.7903225806451613,0.16368532180786133
balance_0,7,chi2,sheppard,hamming,,0.8709677419354839,0.0843045711517334
balance_1,1,eq_weight,majority,minkowski,1,0.7258064516129032,0.15905022621154785
balance_1,1,eq_weight,majority,minkowski,2,0.6935483870967742,0.16068434715270996
balance_1,1,eq_weight,majority,hamming,,0.7258064516129032,0.08195757865905762
balance_1,1,eq_weight,idw,minkowski,1,0.7258064516129032,0.1621706485748291
balance_1,1,eq_weight,idw,minkowski,2,0.6935483870967742,0.17065668106079102
balance_1,1,eq_weight,idw,hamming,,0.7258064516129032,0.08535003662109375
balance_1,1,eq_weight,sheppard,minkowski,1,0.7258064516129032,0.16048359870910645
balance_1,1,eq_weight,sheppard,minkowski,2,0.6935483870967742,0.16186785697937012
balance_1,1,eq_weight,sheppard,hamming,,0.7258064516129032,0.0802912712097168
balance_1,1,information_gain,majority,minkowski,1,0.46774193548387094,0.1999814510345459
balance_1,1,information_gain,majority,minkowski,2,0.46774193548387094,0.20135998725891113
balance_1,1,information_gain,majority,hamming,,0.7419354838709677,0.11627411842346191
balance_1,1,information_gain,idw,minkowski,1,0.46774193548387094,0.20237970352172852
balance_1,1,information_gain,idw,minkowski,2,0.46774193548387094,0.20260262489318848
balance_1,1,information_gain,idw,hamming,,0.6935483870967742,0.11587381362915039
balance_1,1,information_gain,sheppard,minkowski,1,0.46774193548387094,0.2001354694366455
balance_1,1,information_gain,sheppard,minkowski,2,0.46774193548387094,0.20254921913146973
balance_1,1,information_gain,sheppard,hamming,,0.7580645161290323,0.11721253395080566
balance_1,1,chi2,majority,minkowski,1,0.8064516129032258,0.1647963523864746
balance_1,1,chi2,majority,minkowski,2,0.8064516129032258,0.16292333602905273
balance_1,1,chi2,majority,hamming,,0.7258064516129032,0.08258533477783203
balance_1,1,chi2,idw,minkowski,1,0.8064516129032258,0.16567659378051758
balance_1,1,chi2,idw,minkowski,2,0.8064516129032258,0.1642904281616211
balance_1,1,chi2,idw,hamming,,0.7258064516129032,0.08193802833557129
balance_1,1,chi2,sheppard,minkowski,1,0.8064516129032258,0.16304492950439453
balance_1,1,chi2,sheppard,minkowski,2,0.8064516129032258,0.16506052017211914
balance_1,1,chi2,sheppard,hamming,,0.7258064516129032,0.08340668678283691
balance_1,3,eq_weight,majority,minkowski,1,0.6612903225806451,0.16007781028747559
balance_1,3,eq_weight,majority,minkowski,2,0.6774193548387096,0.15974974632263184
balance_1,3,eq_weight,majority,hamming,,0.6612903225806451,0.08191227912902832
balance_1,3,eq_weight,idw,minkowski,1,0.6612903225806451,0.16177964210510254
balance_1,3,eq_weight,idw,minkowski,2,0.6774193548387096,0.16041159629821777
balance_1,3,eq_weight,idw,hamming,,0.6612903225806451,0.08324670791625977
balance_1,3,eq_weight,sheppard,minkowski,1,0.6612903225806451,0.15925335884094238
balance_1,3,eq_weight,sheppard,minkowski,2,0.6774193548387096,0.1610400676727295
balance_1,3,eq_weight,sheppard,hamming,,0.6612903225806451,0.08304119110107422
balance_1,3,information_gain,majority,minkowski,1,0.45161290322580644,0.19867300987243652
balance_1,3,information_gain,majority,minkowski,2,0.45161290322580644,0.19759273529052734
balance_1,3,information_gain,majority,hamming,,0.7258064516129032,0.11817121505737305
balance_1,3,information_gain,idw,minkowski,1,0.532258064516129,0.19808745384216309
balance_1,3,information_gain,idw,minkowski,2,0.43548387096774194,0.2040247917175293
balance_1,3,information_gain,idw,hamming,,0.7096774193548387,0.11660385131835938
balance_1,3,information_gain,sheppard,minkowski,1,0.45161290322580644,0.1981642246246338
balance_1,3,information_gain,sheppard,minkowski,2,0.45161290322580644,0.2019040584564209
balance_1,3,information_gain,sheppard,hamming,,0.7096774193548387,0.11898255348205566
balance_1,3,chi2,majority,minkowski,1,0.8870967741935484,0.1642897129058838
balance_1,3,chi2,majority,minkowski,2,0.8870967741935484,0.16457200050354004
balance_1,3,chi2,majority,hamming,,0.6612903225806451,0.08377695083618164
balance_1,3,chi2,idw,minkowski,1,0.8225806451612904,0.16750836372375488
balance_1,3,chi2,idw,minkowski,2,0.8225806451612904,0.1675271987915039
balance_1,3,chi2,idw,hamming,,0.6612903225806451,0.0841512680053711
balance_1,3,chi2,sheppard,minkowski,1,0.8064516129032258,0.16790056228637695
balance_1,3,chi2,sheppard,minkowski,2,0.8225806451612904,0.1674666404724121
balance_1,3,chi2,sheppard,hamming,,0.6612903225806451,0.08606624603271484
balance_1,5,eq_weight,majority,minkowski,1,0.7096774193548387,0.1599254608154297
balance_1,5,eq_weight,majority,minkowski,2,0.7903225806451613,0.16375494003295898
balance_1,5,eq_weight,majority,hamming,,0.7096774193548387,0.08233284950256348
balance_1,5,eq_weight,idw,minkowski,1,0.7096774193548387,0.16248059272766113
balance_1,5,eq_weight,idw,minkowski,2,0.7903225806451613,0.1647641658782959
balance_1,5,eq_weight,idw,hamming,,0.7096774193548387,0.08325386047363281
balance_1,5,eq_weight,sheppard,minkowski,1,0.7096774193548387,0.162919282913208
balance_1,5,eq_weight,sheppard,minkowski,2,0.7903225806451613,0.16756963729858398
balance_1,5,eq_weight,sheppard,hamming,,0.7096774193548387,0.08367276191711426
balance_1,5,information_gain,majority,minkowski,1,0.45161290322580644,0.20039081573486328
balance_1,5,information_gain,majority,minkowski,2,0.45161290322580644,0.20301151275634766
balance_1,5,information_gain,majority,hamming,,0.8064516129032258,0.11908721923828125
balance_1,5,information_gain,idw,minkowski,1,0.46774193548387094,0.20077037811279297
balance_1,5,information_gain,idw,minkowski,2,0.43548387096774194,0.19911885261535645
balance_1,5,information_gain,idw,hamming,,0.7741935483870968,0.11705636978149414
balance_1,5,information_gain,sheppard,minkowski,1,0.45161290322580644,0.20693182945251465
balance_1,5,information_gain,sheppard,minkowski,2,0.45161290322580644,0.2055666446685791
balance_1,5,information_gain,sheppard,hamming,,0.7903225806451613,0.11775922775268555
balance_1,5,chi2,majority,minkowski,1,0.7580645161290323,0.16831445693969727
balance_1,5,chi2,majority,minkowski,2,0.8064516129032258,0.167280912399292
balance_1,5,chi2,majority,hamming,,0.7096774193548387,0.08310842514038086
balance_1,5,chi2,idw,minkowski,1,0.8225806451612904,0.16831278800964355
balance_1,5,chi2,idw,minkowski,2,0.8225806451612904,0.16756081581115723
balance_1,5,chi2,idw,hamming,,0.7096774193548387,0.08388876914978027
balance_1,5,chi2,sheppard,minkowski,1,0.8064516129032258,0.16547679901123047
balance_1,5,chi2,sheppard,minkowski,2,0.8225806451612904,0.16878557205200195
balance_1,5,chi2,sheppard,hamming,,0.7096774193548387,0.08655261993408203
balance_1,7,eq_weight,majority,minkowski,1,0.7903225806451613,0.15990018844604492
balance_1,7,eq_weight,majority,minkowski,2,0.7258064516129032,0.16312360763549805
balance_1,7,eq_weight,majority,hamming,,0.7903225806451613,0.0821237564086914
balance_1,7,eq_weight,idw,minkowski,1,0.7903225806451613,0.16349291801452637
balance_1,7,eq_weight,idw,minkowski,2,0.7258064516129032,0.16640782356262207
balance_1,7,eq_weight,idw,hamming,,0.7903225806451613,0.08451604843139648
balance_1,7,eq_weight,sheppard,minkowski,1,0.7903225806451613,0.1654512882232666
balance_1,7,eq_weight,sheppard,minkowski,2,0.7258064516129032,0.16584062576293945
balance_1,7,eq_weight,sheppard,hamming,,0.7903225806451613,0.08378720283508301
balance_1,7,information_gain,majority,minkowski,1,0.45161290322580644,0.20231842994689941
balance_1,7,information_gain,majority,minkowski,2,0.45161290322580644,0.20157766342163086
balance_1,7,information_gain,majority,hamming,,0.8225806451612904,0.11929607391357422
balance_1,7,information_gain,idw,minkowski,1,0.46774193548387094,0.20440959930419922
balance_1,7,information_gain,idw,minkowski,2,0.4838709677419355,0.20224571228027344
balance_1,7,information_gain,idw,hamming,,0.6935483870967742,0.11904239654541016
balance_1,7,information_gain,sheppard,minkowski,1,0.45161290322580644,0.2045285701751709
balance_1,7,information_gain,sheppard,minkowski,2,0.45161290322580644,0.2018294334411621
balance_1,7,information_gain,sheppard,hamming,,0.7903225806451613,0.11852788925170898
balance_1,7,chi2,majority,minkowski,1,0.7580645161290323,0.16713285446166992
balance_1,7,chi2,majority,minkowski,2,0.7741935483870968,0.1652536392211914
balance_1,7,chi2,majority,hamming,,0.7903225806451613,0.08307266235351562
balance_1,7,chi2,idw,minkowski,1,0.8064516129032258,0.1675093173980713
balance_1,7,chi2,idw,minkowski,2,0.8064516129032258,0.16682052612304688
balance_1,7,chi2,idw,hamming,,0.7903225806451613,0.08463239669799805
balance_1,7,chi2,sheppard,minkowski,1,0.8064516129032258,0.16661477088928223
balance_1,7,chi2,sheppard,minkowski,2,0.8225806451612904,0.1660926342010498
balance_1,7,chi2,sheppard,hamming,,0.7903225806451613,0.08523082733154297
balance_2,1,eq_weight,majority,minkowski,1,0.6190476190476191,0.16333889961242676
balance_2,1,eq_weight,majority,minkowski,2,0.6031746031746031,0.1647803783416748
balance_2,1,eq_weight,majority,hamming,,0.6190476190476191,0.08346199989318848
balance_2,1,eq_weight,idw,minkowski,1,0.6190476190476191,0.16608190536499023
balance_2,1,eq_weight,idw,minkowski,2,0.6031746031746031,0.1648552417755127
balance_2,1,eq_weight,idw,hamming,,0.6190476190476191,0.0834510326385498
balance_2,1,eq_weight,sheppard,minkowski,1,0.6190476190476191,0.16304731369018555
balance_2,1,eq_weight,sheppard,minkowski,2,0.6031746031746031,0.16315388679504395
balance_2,1,eq_weight,sheppard,hamming,,0.6190476190476191,0.08498501777648926
balance_2,1,information_gain,majority,minkowski,1,0.47619047619047616,0.2012484073638916
balance_2,1,information_gain,majority,minkowski,2,0.47619047619047616,0.20387840270996094
balance_2,1,information_gain,majority,hamming,,0.746031746031746,0.11813139915466309
balance_2,1,information_gain,idw,minkowski,1,0.47619047619047616,0.2042551040649414
balance_2,1,information_gain,idw,minkowski,2,0.47619047619047616,0.205061674118042
balance_2,1,information_gain,idw,hamming,,0.746031746031746,0.12051844596862793
balance_2,1,information_gain,sheppard,minkowski,1,0.47619047619047616,0.20626235008239746
balance_2,1,information_gain,sheppard,minkowski,2,0.47619047619047616,0.20360565185546875
balance_2,1,information_gain,sheppard,hamming,,0.7619047619047619,0.12033629417419434
balance_2,1,chi2,majority,minkowski,1,0.746031746031746,0.169600248336792
balance_2,1,chi2,majority,minkowski,2,0.7619047619047619,0.17010855674743652
balance_2,1,chi2,majority,hamming,,0.6190476190476191,0.08420491218566895
balance_2,1,chi2,idw,minkowski,1,0.746031746031746,0.17084503173828125
balance_2,1,chi2,idw,minkowski,2,0.7619047619047619,0.1705164909362793
balance_2,1,chi2,idw,hamming,,0.6190476190476191,0.08577656745910645
balance_2,1,chi2,sheppard,minkowski,1,0.746031746031746,0.16782855987548828
balance_2,1,chi2,sheppard,minkowski,2,0.7619047619047619,0.16869807243347168
balance_2,1,chi2,sheppard,hamming,,0.6190476190476191,0.08559322357177734
balance_2,3,eq_weight,majority,minkowski,1,0.7142857142857143,0.16360020637512207
balance_2,3,eq_weight,majority,minkowski,2,0.6984126984126984,0.16551709175109863
balance_2,3,eq_weight,majority,hamming,,0.7142857142857143,0.08467268943786621
balance_2,3,eq_weight,idw,minkowski,1,0.7142857142857143,0.16590428352355957
balance_2,3,eq_weight,idw,minkowski,2,0.6984126984126984,0.16567564010620117
balance_2,3,eq_weight,idw,hamming,,0.7142857142857143,0.0841665267944336
balance_2,3,eq_weight,sheppard,minkowski,1,0.7142857142857143,0.16442370414733887
balance_2,3,eq_weight,sheppard,minkowski,2,0.6984126984126984,0.16649651527404785
balance_2,3,eq_weight,sheppard,hamming,,0.7142857142857143,0.0849614143371582
balance_2,3,information_gain,majority,minkowski,1,0.47619047619047616,0.20134925842285156
balance_2,3,information_gain,majority,minkowski,2,0.47619047619047616,0.20246052742004395
balance_2,3,information_gain,majority,hamming,,0.746031746031746,0.11609482765197754
balance_2,3,information_gain,idw,minkowski,1,0.47619047619047616,0.2029576301574707
balance_2,3,information_gain,idw,minkowski,2,0.47619047619047616,0.20724725723266602
balance_2,3,information_gain,idw,hamming,,0.6984126984126984,0.12104392051696777
balance_2,3,information_gain,sheppard,minkowski,1,0.47619047619047616,0.2057802677154541
balance_2,3,information_gain,sheppard,minkowski,2,0.47619047619047616,0.20086956024169922
balance_2,3,information_gain,sheppard,hamming,,0.7301587301587301,0.11837315559387207
balance_2,3,chi2,majority,minkowski,1,0.7619047619047619,0.1777341365814209
balance_2,3,chi2,majority,minkowski,2,0.7936507936507936,0.16752099990844727
balance_2,3,chi2,majority,hamming,,0.7142857142857143,0.08255624771118164
balance_2,3,chi2,idw,minkowski,1,0.7936507936507936,0.16851496696472168
balance_2,3,chi2,idw,minkowski,2,0.8095238095238095,0.16899943351745605
balance_2,3,chi2,idw,hamming,,0.7142857142857143,0.08568310737609863
balance_2,3,chi2,sheppard,minkowski,1,0.7619047619047619,0.1706066131591797
balance_2,3,chi2,sheppard,minkowski,2,0.7619047619047619,0.17168211936950684
balance_2,3,chi2,sheppard,hamming,,0.7142857142857143,0.08590984344482422
balance_2,5,eq_weight,majority,minkowski,1,0.7619047619047619,0.16510987281799316
balance_2,5,eq_weight,majority,minkowski,2,0.746031746031746,0.1638040542602539
balance_2,5,eq_weight,majority,hamming,,0.7619047619047619,0.08434867858886719
balance_2,5,eq_weight,idw,minkowski,1,0.7619047619047619,0.16527199745178223
balance_2,5,eq_weight,idw,minkowski,2,0.746031746031746,0.16514086723327637
balance_2,5,eq_weight,idw,hamming,,0.7619047619047619,0.08491969108581543
balance_2,5,eq_weight,sheppard,minkowski,1,0.7619047619047619,0.16547751426696777
balance_2,5,eq_weight,sheppard,minkowski,2,0.746031746031746,0.16566681861877441
balance_2,5,eq_weight,sheppard,hamming,,0.7619047619047619,0.0851898193359375
balance_2,5,information_gain,majority,minkowski,1,0.4444444444444444,0.20348405838012695
balance_2,5,information_gain,majority,minkowski,2,0.4444444444444444,0.2024400234222412
balance_2,5,information_gain,majority,hamming,,0.7619047619047619,0.11911630630493164
balance_2,5,information_gain,idw,minkowski,1,0.6666666666666666,0.20584392547607422
balance_2,5,information_gain,idw,minkowski,2,0.5714285714285714,0.20543479919433594
balance_2,5,information_gain,idw,hamming,,0.746031746031746,0.11945462226867676
balance_2,5,information_gain,sheppard,minkowski,1,0.4444444444444444,0.20372605323791504
balance_2,5,information_gain,sheppard,minkowski,2,0.4444444444444444,0.19882488250732422
balance_2,5,information_gain,sheppard,hamming,,0.8095238095238095,0.11654901504516602
balance_2,5,chi2,majority,minkowski,1,0.7619047619047619,0.16857242584228516
balance_2,5,chi2,majority,minkowski,2,0.7777777777777778,0.16378045082092285
balance_2,5,chi2,majority,hamming,,0.7619047619047619,0.08289504051208496
balance_2,5,chi2,idw,minkowski,1,0.7936507936507936,0.16750788688659668
balance_2,5,chi2,idw,minkowski,2,0.7936507936507936,0.16627788543701172
balance_2,5,chi2,idw,hamming,,0.7619047619047619,0.08544254302978516
balance_2,5,chi2,sheppard,minkowski,1,0.7619047619047619,0.16558623313903809
balance_2,5,chi2,sheppard,minkowski,2,0.7619047619047619,0.1685171127319336
balance_2,5,chi2,sheppard,hamming,,0.7619047619047619,0.08496952056884766
balance_2,7,eq_weight,majority,minkowski,1,0.8095238095238095,0.15951919555664062
balance_2,7,eq_weight,majority,minkowski,2,0.8095238095238095,0.1606447696685791
balance_2,7,eq_weight,majority,hamming,,0.8095238095238095,0.0835106372833252
balance_2,7,eq_weight,idw,minkowski,1,0.8095238095238095,0.16344499588012695
balance_2,7,eq_weight,idw,minkowski,2,0.8095238095238095,0.16144514083862305
balance_2,7,eq_weight,idw,hamming,,0.8095238095238095,0.08532476425170898
balance_2,7,eq_weight,sheppard,minkowski,1,0.8095238095238095,0.16546201705932617
balance_2,7,eq_weight,sheppard,minkowski,2,0.8095238095238095,0.16332674026489258
balance_2,7,eq_weight,sheppard,hamming,,0.8095238095238095,0.08452939987182617
balance_2,7,information_gain,majority,minkowski,1,0.4444444444444444,0.19794487953186035
balance_2,7,information_gain,majority,minkowski,2,0.4444444444444444,0.1984844207763672
balance_2,7,information_gain,majority,hamming,,0.8095238095238095,0.11838459968566895
balance_2,7,information_gain,idw,minkowski,1,0.42857142857142855,0.20373845100402832
balance_2,7,information_gain,idw,minkowski,2,0.47619047619047616,0.20192170143127441
balance_2,7,information_gain,idw,hamming,,0.6984126984126984,0.11989474296569824
balance_2,7,information_gain,sheppard,minkowski,1,0.4444444444444444,0.20447540283203125
balance_2,7,information_gain,sheppard,minkowski,2,0.4444444444444444,0.20180368423461914
balance_2,7,information_gain,sheppard,hamming,,0.7936507936507936,0.1201467514038086
balance_2,7,chi2,majority,minkowski,1,0.7936507936507936,0.165374755859375
balance_2,7,chi2,majority,minkowski,2,0.746031746031746,0.16552042961120605
balance_2,7,chi2,majority,hamming,,0.8095238095238095,0.08350610733032227
balance_2,7,chi2,idw,minkowski,1,0.8095238095238095,0.16943740844726562
balance_2,7,chi2,idw,minkowski,2,0.8095238095238095,0.1678783893585205
balance_2,7,chi2,idw,hamming,,0.8095238095238095,0.08691573143005371
balance_2,7,chi2,sheppard,minkowski,1,0.7619047619047619,0.17059850692749023
balance_2,7,chi2,sheppard,minkowski,2,0.7619047619047619,0.1690359115600586
balance_2,7,chi2,sheppard,hamming,,0.8095238095238095,0.08491206169128418
balance_3,1,eq_weight,majority,minkowski,1,0.6,0.16689157485961914
balance_3,1,eq_weight,majority,minkowski,2,0.6153846153846154,0.1662445068359375
balance_3,1,eq_weight,majority,hamming,,0.6,0.08440399169921875
balance_3,1,eq_weight,idw,minkowski,1,0.6,0.16668081283569336
balance_3,1,eq_weight,idw,minkowski,2,0.6153846153846154,0.1678478717803955
balance_3,1,eq_weight,idw,hamming,,0.6,0.08660650253295898
balance_3,1,eq_weight,sheppard,minkowski,1,0.6,0.1671910285949707
balance_3,1,eq_weight,sheppard,minkowski,2,0.6153846153846154,0.16959643363952637
balance_3,1,eq_weight,sheppard,hamming,,0.6,0.08741903305053711
balance_3,1,information_gain,majority,minkowski,1,0.46153846153846156,0.20937442779541016
balance_3,1,information_gain,majority,minkowski,2,0.46153846153846156,0.20516657829284668
balance_3,1,information_gain,majority,hamming,,0.6461538461538462,0.11976885795593262
balance_3,1,information_gain,idw,minkowski,1,0.46153846153846156,0.20525813102722168
balance_3,1,information_gain,idw,minkowski,2,0.46153846153846156,0.2056136131286621
balance_3,1,information_gain,idw,hamming,,0.7384615384615385,0.11975288391113281
balance_3,1,information_gain,sheppard,minkowski,1,0.46153846153846156,0.2060847282409668
balance_3,1,information_gain,sheppard,minkowski,2,0.46153846153846156,0.209916353225708
balance_3,1,information_gain,sheppard,hamming,,0.7230769230769231,0.12024497985839844
balance_3,1,chi2,majority,minkowski,1,0.8,0.17441272735595703
balance_3,1,chi2,majority,minkowski,2,0.8,0.172210693359375
balance_3,1,chi2,majority,hamming,,0.6,0.08714866638183594
balance_3,1,chi2,idw,minkowski,1,0.8,0.1734776496887207
balance_3,1,chi2,idw,minkowski,2,0.8,0.17657017707824707
