Dataset,Accuracy,Time (seconds),kernel,C,class_weight,shrinking,gamma
balance_0,0.4838709677419355,0.05600094795227051,rbf,0.1,balanced,False,0.001
balance_0,0.45161290322580644,0.03200197219848633,rbf,0.1,,True,0.01
balance_0,0.45161290322580644,0.03199625015258789,rbf,0.1,,False,0.01
balance_0,0.4838709677419355,0.04000687599182129,rbf,0.1,balanced,True,0.01
balance_0,0.4838709677419355,0.0399937629699707,rbf,0.1,balanced,False,0.01
balance_0,0.9193548387096774,0.032222747802734375,rbf,0.1,,True,0.1
balance_0,0.9193548387096774,0.03198838233947754,rbf,0.1,,False,0.1
balance_0,0.5,0.03999948501586914,rbf,0.1,balanced,True,0.1
balance_0,0.5,0.03200244903564453,rbf,0.1,balanced,False,0.1
balance_0,0.45161290322580644,0.03184318542480469,rbf,0.1,,True,1
balance_0,0.45161290322580644,0.048020362854003906,rbf,0.1,,False,1
balance_0,0.4838709677419355,0.03999972343444824,rbf,0.1,balanced,True,1
balance_0,0.4838709677419355,0.039999961853027344,rbf,0.1,balanced,False,1
balance_0,0.9032258064516129,0.024000167846679688,rbf,1.0,,True,scale
balance_0,0.9032258064516129,0.01600027084350586,rbf,1.0,,False,scale
balance_0,0.6935483870967742,0.024270296096801758,rbf,1.0,balanced,True,scale
balance_0,0.6935483870967742,0.023754119873046875,rbf,1.0,balanced,False,scale
balance_0,0.9354838709677419,0.024000167846679688,rbf,1.0,,True,auto
balance_0,0.9354838709677419,0.023999452590942383,rbf,1.0,,False,auto
balance_0,0.5806451612903226,0.03200030326843262,rbf,1.0,balanced,True,auto
balance_0,0.5806451612903226,0.031983137130737305,rbf,1.0,balanced,False,auto
balance_0,0.45161290322580644,0.032189130783081055,rbf,1.0,,True,0.001
balance_0,0.45161290322580644,0.03200411796569824,rbf,1.0,,False,0.001
balance_0,0.4838709677419355,0.04011940956115723,rbf,1.0,balanced,True,0.001
balance_0,0.4838709677419355,0.03999972343444824,rbf,1.0,balanced,False,0.001
balance_0,0.9193548387096774,0.024007320404052734,rbf,1.0,,True,0.01
balance_0,0.9193548387096774,0.023990631103515625,rbf,1.0,,False,0.01
balance_0,0.43548387096774194,0.0401918888092041,rbf,1.0,balanced,True,0.01
balance_0,0.43548387096774194,0.039983510971069336,rbf,1.0,balanced,False,0.01
balance_0,0.9354838709677419,0.02398085594177246,rbf,1.0,,True,0.1
balance_0,0.9354838709677419,0.024000167846679688,rbf,1.0,,False,0.1
balance_0,0.6451612903225806,0.03201460838317871,rbf,1.0,balanced,True,0.1
balance_0,0.6451612903225806,0.031981706619262695,rbf,1.0,balanced,False,0.1
balance_0,0.8225806451612904,0.039999961853027344,rbf,1.0,,True,1
balance_0,0.8225806451612904,0.04002213478088379,rbf,1.0,,False,1
balance_0,0.8548387096774194,0.040000200271606445,rbf,1.0,balanced,True,1
balance_0,0.8548387096774194,0.03999972343444824,rbf,1.0,balanced,False,1
balance_0,0.7741935483870968,0.023976802825927734,rbf,10.0,,True,scale
balance_0,0.7741935483870968,0.02402353286743164,rbf,10.0,,False,scale
balance_0,0.7741935483870968,0.024144649505615234,rbf,10.0,balanced,True,scale
balance_0,0.7741935483870968,0.024021148681640625,rbf,10.0,balanced,False,scale
balance_0,0.9354838709677419,0.015999555587768555,rbf,10.0,,True,auto
balance_0,0.9354838709677419,0.016003131866455078,rbf,10.0,,False,auto
balance_0,0.8548387096774194,0.02399897575378418,rbf,10.0,balanced,True,auto
balance_0,0.8548387096774194,0.024120092391967773,rbf,10.0,balanced,False,auto
balance_0,0.9193548387096774,0.03202080726623535,rbf,10.0,,True,0.001
balance_0,0.9193548387096774,0.03197622299194336,rbf,10.0,,False,0.001
balance_0,0.45161290322580644,0.03200054168701172,rbf,10.0,balanced,True,0.001
balance_0,0.45161290322580644,0.04025387763977051,rbf,10.0,balanced,False,0.001
balance_0,0.9354838709677419,0.024000883102416992,rbf,10.0,,True,0.01
balance_0,0.9354838709677419,0.01599907875061035,rbf,10.0,,False,0.01
balance_0,0.7258064516129032,0.024441957473754883,rbf,10.0,balanced,True,0.01
balance_0,0.7258064516129032,0.03155827522277832,rbf,10.0,balanced,False,0.01
balance_0,0.9032258064516129,0.0319826602935791,rbf,10.0,,True,0.1
balance_0,0.9032258064516129,0.02399897575378418,rbf,10.0,,False,0.1
balance_0,0.9193548387096774,0.024019718170166016,rbf,10.0,balanced,True,0.1
balance_0,0.9193548387096774,0.024250268936157227,rbf,10.0,balanced,False,0.1
balance_0,0.8225806451612904,0.04028773307800293,rbf,10.0,,True,1
balance_0,0.8225806451612904,0.039978981018066406,rbf,10.0,,False,1
balance_0,0.8225806451612904,0.040019989013671875,rbf,10.0,balanced,True,1
balance_0,0.8225806451612904,0.03200030326843262,rbf,10.0,balanced,False,1
balance_0,0.7741935483870968,0.01600337028503418,rbf,100.0,,True,scale
balance_0,0.7741935483870968,0.02402043342590332,rbf,100.0,,False,scale
balance_0,0.7741935483870968,0.023999691009521484,rbf,100.0,balanced,True,scale
balance_0,0.7741935483870968,0.024151086807250977,rbf,100.0,balanced,False,scale
balance_0,0.9838709677419355,0.023995399475097656,rbf,100.0,,True,auto
balance_0,0.9838709677419355,0.03200411796569824,rbf,100.0,,False,auto
balance_0,0.967741935483871,0.03998231887817383,rbf,100.0,balanced,True,auto
balance_0,0.967741935483871,0.048449039459228516,rbf,100.0,balanced,False,auto
balance_0,0.9354838709677419,0.024790048599243164,rbf,100.0,,True,0.001
balance_0,0.9354838709677419,0.03202509880065918,rbf,100.0,,False,0.001
balance_0,0.7258064516129032,0.03199958801269531,rbf,100.0,balanced,True,0.001
balance_0,0.7258064516129032,0.04800009727478027,rbf,100.0,balanced,False,0.001
balance_0,0.9032258064516129,0.023999452590942383,rbf,100.0,,True,0.01
balance_0,0.9032258064516129,0.0262453556060791,rbf,100.0,,False,0.01
balance_0,0.9193548387096774,0.02399921417236328,rbf,100.0,balanced,True,0.01
balance_0,0.9193548387096774,0.04034924507141113,rbf,100.0,balanced,False,0.01
balance_0,0.9354838709677419,0.023781776428222656,rbf,100.0,,True,0.1
balance_0,0.9354838709677419,0.03199934959411621,rbf,100.0,,False,0.1
balance_0,0.9354838709677419,0.0240175724029541,rbf,100.0,balanced,True,0.1
