dataset,clustering,best_ari_score,mean_time
satimage,kmeans,0.5588601992048701,0.0007604598999023437
satimage,optics,0.001091474780722008,0.0007604598999023437
splice,kmeans,0.4498894392537738,0.007259798049926758
splice,optics,0.16058292720371162,0.007259798049926758
vowel,kmeans,0.15564882407120753,0.000955963134765625
vowel,optics,0.07383229877487495,0.000955963134765625
