dataset,clustering,best_ari_score,mean_time
satimage,kmeans,0.5875693838038233,11.870809507369994
satimage,optics,0.004791512331465848,11.870809507369994
splice,kmeans,0.16211051000941643,9.668322563171387
splice,optics,0.004750596641868942,9.668322563171387
vowel,kmeans,0.05248348105276079,1.5891037940979005
vowel,optics,0.09108395978980377,1.5891037940979005
